variant_slug,system_id,initial_condition_set,system_name,n_seeds,n_valid,mean_loss,std_loss,exact_match_rate,mean_final_stage,mean_stage_overshoot,mean_wasted_levels,mean_elapsed_s,mean_invalid_evals,mean_r2,n_r2,mean_total_parameter_fits,mean_total_ode_solves
evogrow_v2_2_stage_capped_pretune_off,1,1,RC-circuit (charging capacitor),3,3,6.63049e-05,1.6635e-12,,5,,,89.7673,,0.999988,3,410,582854
evogrow_v2_2_stage_capped_pretune_off,1,2,RC-circuit (charging capacitor),3,3,0.000106616,1.78063e-14,,5,,,38.5547,,0.999779,3,410,228160
evogrow_v2_2_stage_capped_pretune_off,2,1,Population growth (naive),3,3,1.95581e-12,1.76829e-20,1,1,0,0,11.1955,,1,3,30,2906
evogrow_v2_2_stage_capped_pretune_off,2,2,Population growth (naive),3,3,6.56045e-14,2.28198e-20,1,1,0,0,10.4821,,1,3,30,2436
evogrow_v2_2_stage_capped_pretune_off,3,1,Population growth with carrying capacity,3,3,3.0484e-09,4.12605e-09,1,2,0,0,29.5665,,1,3,116.667,157504
evogrow_v2_2_stage_capped_pretune_off,3,2,Population growth with carrying capacity,3,3,1.24286e-08,9.15936e-09,1,2,0,0,24.7565,,1,3,136.667,114775
evogrow_v2_2_stage_capped_pretune_off,4,1,RC-circuit with non-linear resistor (charging capacitor),3,3,7.51113e-05,7.38312e-13,,5,,,125.711,,0.999878,3,410,1.01455e+06
evogrow_v2_2_stage_capped_pretune_off,4,2,RC-circuit with non-linear resistor (charging capacitor),3,3,0.000609092,6.84044e-11,,5,,,72.2534,,0.999324,3,410,335110
evogrow_v2_2_stage_capped_pretune_off,5,1,Velocity of a falling object with air resistance,3,3,6.29015,0.0271739,,5,,,1189.97,,0.980299,3,496.667,2.7476e+06
evogrow_v2_2_stage_capped_pretune_off,5,2,Velocity of a falling object with air resistance,3,3,1.00188e-05,1.30044e-06,,5,,,354.706,,0.999994,3,410,2.44611e+06
evogrow_v2_2_stage_capped_pretune_off,6,1,Autocatalysis with one fixed abundant chemical,3,3,2.2872e-14,1.41662e-15,1,2,0,0,21.316,,1,3,110,84156.7
evogrow_v2_2_stage_capped_pretune_off,6,2,Autocatalysis with one fixed abundant chemical,3,3,4.45681e-14,3.10642e-14,1,2,0,0,28.8241,,1,3,110,155438
evogrow_v2_2_stage_capped_pretune_off,7,1,Gompertz law for tumor growth,3,3,0.000454248,0,,5,,,24.9145,,0.996017,3,410,101929
evogrow_v2_2_stage_capped_pretune_off,7,2,Gompertz law for tumor growth,3,3,2.75439e-05,4.4226e-06,,5,,,175.481,,0.999999,3,410,1.32919e+06
evogrow_v2_2_stage_capped_pretune_off,8,1,Logistic equation with Allee effect,3,3,1.836e-05,1.04356e-05,1,4,0,0,161.847,,1,3,330,1.10442e+06
evogrow_v2_2_stage_capped_pretune_off,8,2,Logistic equation with Allee effect,3,3,0.000947075,4.66936e-15,0,4,0,0,35.6221,,0.993263,3,330,246455
evogrow_v2_2_stage_capped_pretune_off,9,1,Language death model for two languages,3,3,0.000187104,3.31968e-20,,5,,,24.9675,,0.978516,3,410,112569
evogrow_v2_2_stage_capped_pretune_off,9,2,Language death model for two languages,3,3,2.18482e-05,3.58566e-20,,5,,,100.603,,-0.39725,3,410,907903
evogrow_v2_2_stage_capped_pretune_off,10,1,Refined language death model for two languages,3,3,2.34959e-05,6.76443e-16,,4,,,31.4953,,0.999696,3,330,183802
evogrow_v2_2_stage_capped_pretune_off,10,2,Refined language death model for two languages,3,3,5.42593e-05,2.38087e-19,,5,,,20.4704,,0.993305,3,410,63200.7
evogrow_v2_2_stage_capped_pretune_off,11,1,Naive critical slowing down (statistical mechanics),3,3,4.63863e-15,3.9764e-17,1,4,0,0,13.0745,,1,3,276.667,11447.3
