system_representability,metric,condition,initial_condition_set,system_dim,n_cells,value_q05,value_q10,value_q25,value_q50,value_q75,value_q90,value_q95,stage_caps,eq_final_stages
exact,final_stage,pretune_off,1,1,18,1,1,2,2,4,4,4,[null],[1]
exact,final_stage,pretune_off,1,2,27,1,1,3,3,4,5,5,"[null,null]","[1,1]"
exact,final_stage,pretune_off,1,3,12,3,3,3,4,5,5,5,"[null,3,3]","[5,3,3]"
exact,final_stage,pretune_off,1,4,3,5,5,5,5,5,5,5,"[null,null,null,null]","[5,5,5,5]"
exact,final_stage,pretune_off,2,1,18,1,1,2,2,4,4,4,[null],[1]
exact,final_stage,pretune_off,2,2,27,1,1,3,3,4,5,5,"[null,null]","[1,1]"
exact,final_stage,pretune_off,2,3,12,3,3,3.75,4,5,5,5,"[null,3,3]","[5,3,3]"
exact,final_stage,pretune_off,2,4,3,5,5,5,5,5,5,5,"[null,null,null,null]","[5,5,5,5]"
exact,final_stage,pretune_on,1,1,18,1,1,2,2,4,4,4,[null],[1]
exact,final_stage,pretune_on,1,2,27,1,1,3,3,4,4.4,5,"[null,null]","[1,1]"
exact,final_stage,pretune_on,1,3,12,3,3,3.75,4.5,5,5,5,"[null,3,3]","[5,3,3]"
exact,final_stage,pretune_on,1,4,3,5,5,5,5,5,5,5,"[null,null,null,null]","[5,5,5,5]"
exact,final_stage,pretune_on,2,1,18,1,1,2,2,4,4,4,[null],[1]
exact,final_stage,pretune_on,2,2,27,1,1,3,3,5,5,5,"[null,null]","[1,1]"
exact,final_stage,pretune_on,2,3,12,3,3,3.75,5,5,5,5,"[null,3,3]","[5,3,3]"
exact,final_stage,pretune_on,2,4,3,5,5,5,5,5,5,5,"[null,null,null,null]","[5,5,5,5]"
exact,n_levels,pretune_off,1,1,18,30,30,30,30,30,30,30,,
exact,n_levels,pretune_off,1,2,27,30,30,30,30,30,30,30,,
exact,n_levels,pretune_off,1,3,12,30,30,30,30,30,30,30,,
exact,n_levels,pretune_off,1,4,3,30,30,30,30,30,30,30,,
exact,n_levels,pretune_off,2,1,18,30,30,30,30,30,30,30,,
exact,n_levels,pretune_off,2,2,27,30,30,30,30,30,30,30,,
exact,n_levels,pretune_off,2,3,12,30,30,30,30,30,30,30,,
exact,n_levels,pretune_off,2,4,3,30,30,30,30,30,30,30,,
exact,n_levels,pretune_on,1,1,18,30,30,30,30,30,30,30,,
exact,n_levels,pretune_on,1,2,27,30,30,30,30,30,30,30,,
exact,n_levels,pretune_on,1,3,12,30,30,30,30,30,30,30,,
exact,n_levels,pretune_on,1,4,3,30,30,30,30,30,30,30,,
exact,n_levels,pretune_on,2,1,18,30,30,30,30,30,30,30,,
exact,n_levels,pretune_on,2,2,27,30,30,30,30,30,30,30,,
exact,n_levels,pretune_on,2,3,12,30,30,30,30,30,30,30,,
exact,n_levels,pretune_on,2,4,3,30,30,30,30,30,30,30,,
exact,total_loss_evals,pretune_off,1,1,18,2869.65,2950.8,11556,102996,146484.5,1086183.9,1104371.6,,
exact,total_loss_evals,pretune_off,1,2,27,59631.3,130188.6,612060,844994,1411893,2963240.6,4274678.6,,
exact,total_loss_evals,pretune_off,1,3,12,1811018.45,2159981.8,2582417.5,3679930.5,3768681.75,3810844.5,3993840,,
exact,total_loss_evals,pretune_off,1,4,3,336551.9,355851.8,413751.5,510251,629877.5,701653.4,725578.7,,
exact,total_loss_evals,pretune_off,2,1,18,2431.5,2457,78586.5,146984.5,176887.25,221755.9,262371.1,,
exact,total_loss_evals,pretune_off,2,2,27,9878.8,10643.4,312990.5,608554,1718468.5,2394508,2727126.5,,
exact,total_loss_evals,pretune_off,2,3,12,2151986.9,2214764.4,2417008.5,2983327,3242065.5,3418735.5,3455157.9,,
exact,total_loss_evals,pretune_off,2,4,3,447772.5,467996,528666.5,629784,721580.5,776658.4,795017.7,,
exact,total_loss_evals,pretune_on,1,1,18,1830,1830,9470,22950,58050,600000,600000,,
exact,total_loss_evals,pretune_on,1,2,27,4085.9,6037.2,109670.5,982202,1379455.5,2237747.8,2971587.6,,
exact,total_loss_evals,pretune_on,1,3,12,2979047.95,3159029.3,4480700.75,5414782,7069804.25,7632320.3,7953953.5,,
exact,total_loss_evals,pretune_on,1,4,3,213421.3,219898.6,239330.5,271717,400816.5,478276.2,504096.1,,
exact,total_loss_evals,pretune_on,2,1,18,480,480,9930,35480,198290,391820,391820,,
exact,total_loss_evals,pretune_on,2,2,27,3773,4973.6,109735.5,505259,1810609.5,4091282,4783903.8,,
exact,total_loss_evals,pretune_on,2,3,12,4858647.45,5052953.2,5363425,6022795.5,7334266,7757578,7979835.9,,
exact,total_loss_evals,pretune_on,2,4,3,379089.5,386035,406871.5,441599,610632.5,712052.6,745859.3,,
exact,total_ode_solves,pretune_off,1,1,18,2869.65,2950.8,11556,102996,146484.5,1086183.9,1104371.6,,
exact,total_ode_solves,pretune_off,1,2,27,59631.3,130188.6,612060,844994,1411893,2963240.6,4274678.6,,
exact,total_ode_solves,pretune_off,1,3,12,1811018.45,2159981.8,2582417.5,3679930.5,3768681.75,3810844.5,3993840,,
exact,total_ode_solves,pretune_off,1,4,3,336551.9,355851.8,413751.5,510251,629877.5,701653.4,725578.7,,
exact,total_ode_solves,pretune_off,2,1,18,2431.5,2457,78586.5,146984.5,176887.25,221755.9,262371.1,,
exact,total_ode_solves,pretune_off,2,2,27,9878.8,10643.4,312990.5,608554,1718468.5,2394508,2727126.5,,
exact,total_ode_solves,pretune_off,2,3,12,2151986.9,2214764.4,2417008.5,2983327,3242065.5,3418735.5,3455157.9,,
exact,total_ode_solves,pretune_off,2,4,3,447772.5,467996,528666.5,629784,721580.5,776658.4,795017.7,,
exact,total_ode_solves,pretune_on,1,1,18,1830,1830,9470,22950,58050,600000,600000,,
exact,total_ode_solves,pretune_on,1,2,27,4085.9,6037.2,109670.5,982202,1379455.5,2237747.8,2971587.6,,
exact,total_ode_solves,pretune_on,1,3,12,2979047.95,3159029.3,4480700.75,5414782,7069804.25,7632320.3,7953953.5,,
exact,total_ode_solves,pretune_on,1,4,3,213421.3,219898.6,239330.5,271717,400816.5,478276.2,504096.1,,
exact,total_ode_solves,pretune_on,2,1,18,480,480,9930,35480,198290,391820,391820,,
exact,total_ode_solves,pretune_on,2,2,27,3773,4973.6,109735.5,505259,1810609.5,4091282,4783903.8,,
exact,total_ode_solves,pretune_on,2,3,12,4858647.45,5052953.2,5363425,6022795.5,7334266,7757578,7979835.9,,
exact,total_ode_solves,pretune_on,2,4,3,379089.5,386035,406871.5,441599,610632.5,712052.6,745859.3,,
exact,total_parameter_fits,pretune_off,1,1,18,30,30,110,110,270,330,330,,
exact,total_parameter_fits,pretune_off,1,2,27,30,30,260,350,440,490,532,,
exact,total_parameter_fits,pretune_off,1,3,12,385,436,505,610,610,610,610,,
exact,total_parameter_fits,pretune_off,1,4,3,410,410,410,410,410,410,410,,
exact,total_parameter_fits,pretune_off,2,1,18,30,30,110,110,330,330,330,,
exact,total_parameter_fits,pretune_off,2,2,27,30,30,230,290,390,430,486,,
exact,total_parameter_fits,pretune_off,2,3,12,385,442,550,600,610,610,610,,
exact,total_parameter_fits,pretune_off,2,4,3,410,410,410,410,410,410,410,,
exact,total_parameter_fits,pretune_on,1,1,18,30,30,110,140,270,330,330,,
exact,total_parameter_fits,pretune_on,1,2,27,30,30,270,290,350,374,410,,
exact,total_parameter_fits,pretune_on,1,3,12,350,366,555,580,610,610,610,,
exact,total_parameter_fits,pretune_on,1,4,3,410,410,410,410,410,410,410,,
exact,total_parameter_fits,pretune_on,2,1,18,30,30,110,110,330,330,330,,
exact,total_parameter_fits,pretune_on,2,2,27,30,30,270,350,410,426,450,,
exact,total_parameter_fits,pretune_on,2,3,12,481,490,505,610,610,610,610,,
exact,total_parameter_fits,pretune_on,2,4,3,410,410,410,410,410,410,410,,
exact,stage_overshoot,pretune_off,1,1,18,0,0,0,0,0,0,0,,
exact,stage_overshoot,pretune_off,1,2,27,0,0,0,0,0,0,0,,
exact,stage_overshoot,pretune_off,1,3,12,0,0,0,1,2,2,2,,
exact,stage_overshoot,pretune_off,1,4,3,2,2,2,2,2,2,2,,
exact,stage_overshoot,pretune_off,2,1,18,0,0,0,0,0,0,0,,
exact,stage_overshoot,pretune_off,2,2,27,0,0,0,0,0,0.4,1,,
exact,stage_overshoot,pretune_off,2,3,12,0,0,0.75,1,2,2,2,,
exact,stage_overshoot,pretune_off,2,4,3,2,2,2,2,2,2,2,,
exact,stage_overshoot,pretune_on,1,1,18,0,0,0,0,0,0,0,,
exact,stage_overshoot,pretune_on,1,2,27,0,0,0,0,0,0,0,,
exact,stage_overshoot,pretune_on,1,3,12,0,0,0.75,1.5,2,2,2,,
exact,stage_overshoot,pretune_on,1,4,3,2,2,2,2,2,2,2,,
exact,stage_overshoot,pretune_on,2,1,18,0,0,0,0,0,0,0,,
exact,stage_overshoot,pretune_on,2,2,27,0,0,0,0,0,1.4,2,,
exact,stage_overshoot,pretune_on,2,3,12,0,0,0.75,2,2,2,2,,
exact,stage_overshoot,pretune_on,2,4,3,2,2,2,2,2,2,2,,
exact,wasted_levels,pretune_off,1,1,18,0,0,0,0,0,0,0,,
exact,wasted_levels,pretune_off,1,2,27,0,0,0,0,0,0,0,,
exact,wasted_levels,pretune_off,1,3,12,0,0,0,5.5,8,8,8,,
exact,wasted_levels,pretune_off,1,4,3,8,8,8,8,8,8,8,,
exact,wasted_levels,pretune_off,2,1,18,0,0,0,0,0,0,0,,
exact,wasted_levels,pretune_off,2,2,27,0,0,0,0,0,1.2,3.7,,
exact,wasted_levels,pretune_off,2,3,12,0,0,0.75,4.5,8,8,9.35,,
exact,wasted_levels,pretune_off,2,4,3,8,8,8,8,8,8,8,,
exact,wasted_levels,pretune_on,1,1,18,0,0,0,0,0,0,0,,
exact,wasted_levels,pretune_on,1,2,27,0,0,0,0,0,0,0,,
exact,wasted_levels,pretune_on,1,3,12,0,0,2.25,5,8,8,8,,
exact,wasted_levels,pretune_on,1,4,3,8,8,8,8,8,8,8,,
exact,wasted_levels,pretune_on,2,1,18,0,0,0,0,0,0,0,,
exact,wasted_levels,pretune_on,2,2,27,0,0,0,0,0,5.6,8,,
exact,wasted_levels,pretune_on,2,3,12,0,0,1.5,5.5,8,8,8,,
exact,wasted_levels,pretune_on,2,4,3,8,8,8,8,8,8,8,,
exact,eq_overshoot_sum,pretune_off,1,1,18,0,0,0,0,0,0,0,,
exact,eq_overshoot_sum,pretune_off,1,2,27,0,0,0,0,0,0,0,,
exact,eq_overshoot_sum,pretune_off,1,3,12,0,0,0,1,2,2,2,,
exact,eq_overshoot_sum,pretune_off,1,4,3,8,8,8,8,8,8,8,,
exact,eq_overshoot_sum,pretune_off,2,1,18,0,0,0,0,0,0,0,,
exact,eq_overshoot_sum,pretune_off,2,2,27,0,0,0,0,0,0.4,1,,
exact,eq_overshoot_sum,pretune_off,2,3,12,0,0,0.75,1.5,2,2.9,3,,
exact,eq_overshoot_sum,pretune_off,2,4,3,8,8,8,8,8,8,8,,
exact,eq_overshoot_sum,pretune_on,1,1,18,0,0,0,0,0,0,0,,
exact,eq_overshoot_sum,pretune_on,1,2,27,0,0,0,0,0,0,0,,
exact,eq_overshoot_sum,pretune_on,1,3,12,0,0,0.75,1.5,2,2,2,,
exact,eq_overshoot_sum,pretune_on,1,4,3,8,8,8,8,8,8,8,,
exact,eq_overshoot_sum,pretune_on,2,1,18,0,0,0,0,0,0,0,,
exact,eq_overshoot_sum,pretune_on,2,2,27,0,0,0,0,0,2.2,4,,
exact,eq_overshoot_sum,pretune_on,2,3,12,0,0,0.75,2,2.25,3,3,,
exact,eq_overshoot_sum,pretune_on,2,4,3,8,8,8,8,8,8,8,,
surrogate,final_stage,pretune_off,1,1,51,3,4,5,5,5,5,5,[5],[5]
surrogate,final_stage,pretune_off,1,2,57,5,5,5,5,5,5,5,"[null,null]","[5,5]"
surrogate,final_stage,pretune_off,1,3,18,5,5,5,5,5,5,5,"[null,null,null]","[5,5,5]"
surrogate,final_stage,pretune_off,1,4,3,5,5,5,5,5,5,5,"[null,null,null,null]","[5,5,5,5]"
