run_id,experiment_id,phase,hypothesis,run_type,include_in_paper,system_id,system_name,system_dim,system_representability,system_expected_stage,variant,variant_slug,seed,status,inferred_status,success,failure_reason,started_at,finished_at,loss,objective,exact_support_match,final_stage,stage_overshoot,wasted_levels,total_loss_evals,total_invalid_evals,elapsed_s,partial,metrics_available,corrupted,campaign_manifest_index,initial_condition_set,config_fingerprint,git_hash,git_dirty,r2,r2_by_dim,total_parameter_fits,total_ode_solves,stage_cap_behavior_fingerprint,support_terms,condition,use_pretuning,n_levels,eq_overshoot,eq_final_stages,stage_caps,solver_retcodes,optimizer_retcodes,total_diverged_solves,total_invalid_solves,total_nonfinite_solves,total_solver_unstable_solves,total_step_limit_solves,total_optimizer_limit_hits,total_optimizer_budget_stop_fits,exact_support_match_num,heartbeat_file,level_event_count,last_improvement_level,last_improvement_position,improvement_count,silent_levels,silent_fraction,equal_best_loss_transitions,nonmonotone_best_loss_transitions,substantial_relative_threshold,substantial_last_improvement_level,substantial_silent_levels,substantial_silent_fraction,level_count_diff_from_registry,log10_loss
1_evogrow_v2_2_stage_capped_pretune_on_1_1_42,paper1_phaseB_v1,B,,campaign_cell,,1,RC-circuit (charging capacitor),1,surrogate,,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,42,finished,finished,True,,,2026-09-04T19:33:33.007Z,6.63048951931e-05,,,5,,,1906176,,286.301942657,False,True,False,1,1,604e79733b22d64d,91f88c4,False,0.999988066701,[0.9999880667006428],410,1906176,ffb0266c7913352c,"[[""u1"",""u1^2"",""u1^3"",""cos(u1)""]]",pretune_on,True,30,,[5],[5],"[""Success"",""Unstable""]","[""Failure"",""MaxLossEvals""]",1284,1284,0,1284,0,410,60,,cell_000001.heartbeat.jsonl,20,17,17,4,3,0.15,16,0,0.01,17,3,0.15,-10,-4.17845440709
2_evogrow_v2_2_stage_capped_pretune_on_1_1_123,paper1_phaseB_v1,B,,campaign_cell,,1,RC-circuit (charging capacitor),1,surrogate,,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,123,finished,finished,True,,,2026-09-04T19:34:11.106Z,6.63048951931e-05,,,5,,,1906482,,260.829816873,False,True,False,2,1,604e79733b22d64d,91f88c4,False,0.999988066701,[0.9999880667006428],410,1906482,ffb0266c7913352c,"[[""u1"",""u1^2"",""u1^3"",""cos(u1)""]]",pretune_on,True,30,,[5],[5],"[""Success"",""Unstable""]","[""Failure"",""MaxLossEvals""]",1248,1248,0,1248,0,410,60,,cell_000002.heartbeat.jsonl,20,17,17,4,3,0.15,16,0,0.01,17,3,0.15,-10,-4.17845440709
3_evogrow_v2_2_stage_capped_pretune_on_1_1_7,paper1_phaseB_v1,B,,campaign_cell,,1,RC-circuit (charging capacitor),1,surrogate,,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,7,finished,finished,True,,,2026-09-04T19:34:15.632Z,6.63048951931e-05,,,5,,,1905870,,263.811074355,False,True,False,3,1,604e79733b22d64d,91f88c4,False,0.999988066701,[0.9999880667006428],410,1905870,ffb0266c7913352c,"[[""u1"",""u1^2"",""u1^3"",""cos(u1)""]]",pretune_on,True,30,,[5],[5],"[""Success"",""Unstable""]","[""Failure"",""MaxLossEvals""]",1320,1320,0,1320,0,410,60,,cell_000003.heartbeat.jsonl,20,17,17,4,3,0.15,16,0,0.01,17,3,0.15,-10,-4.17845440709
4_evogrow_v2_2_stage_capped_pretune_on_1_2_42,paper1_phaseB_v1,B,,campaign_cell,,1,RC-circuit (charging capacitor),1,surrogate,,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,42,finished,finished,True,,,2026-09-04T19:38:58.643Z,0.000106615991459,,,5,,,116298,,24.549166771,False,True,False,4,2,604e79733b22d64d,91f88c4,False,0.999779148318,[0.999779148317866],410,116298,ffb0266c7913352c,"[[""u1"",""u1^2"",""u1^3""]]",pretune_on,True,30,,[5],[5],"[""Success""]","[""Success""]",0,0,0,0,0,0,0,,cell_000004.heartbeat.jsonl,20,13,13,3,7,0.35,17,0,0.01,13,7,0.35,-10,-3.97217765008
5_evogrow_v2_2_stage_capped_pretune_on_1_2_123,paper1_phaseB_v1,B,,campaign_cell,,1,RC-circuit (charging capacitor),1,surrogate,,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,123,finished,finished,True,,,2026-09-04T19:39:13.395Z,0.000106615991459,,,5,,,110334,,25.521202469,False,True,False,5,2,604e79733b22d64d,91f88c4,False,0.999779148318,[0.999779148317866],410,110334,ffb0266c7913352c,"[[""u1"",""u1^2"",""u1^3""]]",pretune_on,True,30,,[5],[5],"[""Success""]","[""Success""]",0,0,0,0,0,0,0,,cell_000005.heartbeat.jsonl,20,13,13,3,7,0.35,17,0,0.01,13,7,0.35,-10,-3.97217765008
6_evogrow_v2_2_stage_capped_pretune_on_1_2_7,paper1_phaseB_v1,B,,campaign_cell,,1,RC-circuit (charging capacitor),1,surrogate,,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,7,finished,finished,True,,,2026-09-04T19:39:19.496Z,0.000106615991459,,,5,,,114168,,23.476080073,False,True,False,6,2,604e79733b22d64d,91f88c4,False,0.999779148318,[0.999779148317866],410,114168,ffb0266c7913352c,"[[""u1"",""u1^2"",""u1^3""]]",pretune_on,True,30,,[5],[5],"[""Success""]","[""Success""]",0,0,0,0,0,0,0,,cell_000006.heartbeat.jsonl,20,13,13,3,7,0.35,17,0,0.01,13,7,0.35,-10,-3.97217765008
7_evogrow_v2_2_stage_capped_pretune_on_2_1_42,paper1_phaseB_v1,B,,campaign_cell,,2,Population growth (naive),1,exact,1,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,42,finished,finished,True,,,2026-09-04T19:40:04.096Z,1.8637666178e-12,,True,1,0,0,600000,,66.240472548,False,True,False,7,1,604e79733b22d64d,91f88c4,False,1,[0.9999999999999869],30,600000,ffb0266c7913352c,"[[""u1""]]",pretune_on,True,30,[0],[1],[null],"[""Success""]","[""MaxLossEvals""]",0,0,0,0,0,30,30,1,cell_000007.heartbeat.jsonl,1,1,1,1,0,0,0,0,0.01,1,0,0,-29,-11.7296084712
8_evogrow_v2_2_stage_capped_pretune_on_2_1_123,paper1_phaseB_v1,B,,campaign_cell,,2,Population growth (naive),1,exact,1,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,123,finished,finished,True,,,2026-09-04T19:40:19.735Z,1.8637666178e-12,,True,1,0,0,600000,,66.727550279,False,True,False,8,1,604e79733b22d64d,91f88c4,False,1,[0.9999999999999869],30,600000,ffb0266c7913352c,"[[""u1""]]",pretune_on,True,30,[0],[1],[null],"[""Success""]","[""MaxLossEvals""]",0,0,0,0,0,30,30,1,cell_000008.heartbeat.jsonl,1,1,1,1,0,0,0,0,0.01,1,0,0,-29,-11.7296084712
9_evogrow_v2_2_stage_capped_pretune_on_2_1_7,paper1_phaseB_v1,B,,campaign_cell,,2,Population growth (naive),1,exact,1,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,7,finished,finished,True,,,2026-09-04T19:40:22.848Z,1.8637666178e-12,,True,1,0,0,600000,,66.277671417,False,True,False,9,1,604e79733b22d64d,91f88c4,False,1,[0.9999999999999869],30,600000,ffb0266c7913352c,"[[""u1""]]",pretune_on,True,30,[0],[1],[null],"[""Success""]","[""MaxLossEvals""]",0,0,0,0,0,30,30,1,cell_000009.heartbeat.jsonl,1,1,1,1,0,0,0,0,0.01,1,0,0,-29,-11.7296084712
10_evogrow_v2_2_stage_capped_pretune_on_2_2_42,paper1_phaseB_v1,B,,campaign_cell,,2,Population growth (naive),1,exact,1,evogrow_v2_2_stage_capped_pretune_on,evogrow_v2_2_stage_capped_pretune_on,42,finished,finished,True,,,2026-09-04T19:41:51.458Z,6.56045388907e-14,,True,1,0,0,480,,10.413766668,False,True,False,10,2,604e79733b22d64d,91f88c4,False,1,[0.999999999999986],30,480,ffb0266c7913352c,"[[""u1""]]",pretune_on,True,30,[0],[1],[null],"[""Success""]","[""Success""]",0,0,0,0,0,0,0,1,cell_000010.heartbeat.jsonl,1,1,1,1,0,0,0,0,0.01,1,0,0,-29,-13.1830661127
