system_representability,condition,initial_condition_set,system_dim,n_cells,silent_levels_q05,silent_levels_q10,silent_levels_q25,silent_levels_q50,silent_levels_q75,silent_levels_q90,silent_levels_q95,silent_fraction_q05,silent_fraction_q10,silent_fraction_q25,silent_fraction_q50,silent_fraction_q75,silent_fraction_q90,silent_fraction_q95
exact,pretune_off,1,1,18,0,0,0,0,0,1.6,3,0,0,0,0,0,0.1,0.1875
exact,pretune_off,1,2,27,0,0,0,0,3,7,7,0,0,0,0,0.19375,0.330909090909,0.393235294118
exact,pretune_off,1,3,12,0.55,1,2.5,3.5,7,8.8,9.9,0.0183333333333,0.0333333333333,0.0833333333333,0.138095238095,0.2625,0.42375,0.438625
exact,pretune_off,1,4,3,19,19,19,19,19,19,19,0.95,0.95,0.95,0.95,0.95,0.95,0.95
exact,pretune_off,2,1,18,0,0,0,0,7,12,12.3,0,0,0,0,0.4375,0.75,0.76875
exact,pretune_off,2,2,27,0,0,0,1,3.5,11.8,19,0,0,0,0.047619047619,0.267857142857,0.73,0.95
exact,pretune_off,2,3,12,1.65,3,3,3.5,7,7.9,11.15,0.055,0.100344827586,0.103448275862,0.138095238095,0.241666666667,0.420416666667,0.490625
exact,pretune_off,2,4,3,19,19,19,19,19,19,19,0.95,0.95,0.95,0.95,0.95,0.95,0.95
exact,pretune_on,1,1,18,0,0,0,0,3,15,15,0,0,0,0,0.375,0.9375,0.9375
exact,pretune_on,1,2,27,0,0,0,3,3,7,7,0,0,0,0.214285714286,0.230769230769,0.41,0.5
exact,pretune_on,1,3,12,3,3,5.25,8,11,11,12.35,0.151058823529,0.176470588235,0.194117647059,0.266666666667,0.392857142857,0.392857142857,0.426071428571
exact,pretune_on,1,4,3,19,19,19,19,19,19,19,0.95,0.95,0.95,0.95,0.95,0.95,0.95
exact,pretune_on,2,1,18,0,0,0,0,11,15,15,0,0,0,0,0.6875,0.9375,0.9375
exact,pretune_on,2,2,27,0,0,0,7,11,19,19,0,0,0,0.5,0.538461538462,0.95,0.95
exact,pretune_on,2,3,12,3,3,4.5,9.5,11,12.8,13.45,0.125,0.125543478261,0.157608695652,0.316666666667,0.402976190476,0.439333333333,0.452
exact,pretune_on,2,4,3,19,19,19,19,19,19,19,0.95,0.95,0.95,0.95,0.95,0.95,0.95
surrogate,pretune_off,1,1,51,2,3,3,6,10,12,15,0.1,0.125,0.15,0.318181818182,0.6,0.65,0.75
surrogate,pretune_off,1,2,57,0.8,1,3,7,16,19,19,0.0266666666667,0.0347619047619,0.111111111111,0.269230769231,0.761904761905,0.95,0.95
surrogate,pretune_off,1,3,18,0,0.7,3,6.5,14.5,17.6,19,0,0.0318181818182,0.108134920635,0.25462962963,0.572492163009,0.723833333333,0.76475
surrogate,pretune_off,1,4,3,15.4,15.8,17,19,19,19,19,0.587087912088,0.597252747253,0.627747252747,0.678571428571,0.70467032967,0.72032967033,0.725549450549
surrogate,pretune_off,2,1,51,2.5,3,5,7,12,19,19,0.15,0.15,0.3,0.4375,0.7,0.95,0.95
surrogate,pretune_off,2,2,57,0,1.6,3,7,15,17,18.2,0,0.0704761904762,0.115384615385,0.32,0.714285714286,0.9,0.94
surrogate,pretune_off,2,3,18,3.7,5.4,7,11,14.75,18.3,19,0.123333333333,0.18,0.254807692308,0.42037037037,0.67803030303,0.871428571429,0.911547619048
surrogate,pretune_off,2,4,3,16.2,16.4,17,18,18.5,18.8,18.9,0.6,0.607407407407,0.62962962963,0.666666666667,0.698717948718,0.717948717949,0.724358974359
surrogate,pretune_on,1,1,51,3,3,3,3,11,15,17,0.13961038961,0.142857142857,0.15,0.35,0.6875,0.75,0.85
surrogate,pretune_on,1,2,57,3,3,6,7,19,19,19,0.12,0.12,0.269230769231,0.304347826087,0.904761904762,0.95,0.95
surrogate,pretune_on,1,3,18,2.55,3.7,10.5,18.5,19,19,19,0.085,0.163333333333,0.35,0.787137681159,0.863636363636,0.904761904762,0.911547619048
surrogate,pretune_on,1,4,3,19,19,19,19,19,19,19,0.709333333333,0.714962962963,0.731851851852,0.76,0.76,0.76,0.76
surrogate,pretune_on,2,1,51,3,3,7,11,15,19,19,0.15,0.15,0.35,0.6875,0.75,0.95,0.95
surrogate,pretune_on,2,2,57,3,3,3,7,15,19,19,0.12,0.125,0.142857142857,0.291666666667,0.714285714286,0.95,0.95
surrogate,pretune_on,2,3,18,2.7,3,4.5,12,19,19,19,0.09,0.1,0.15,0.464285714286,0.894480519481,0.918333333333,0.95
surrogate,pretune_on,2,4,3,9,10,13,18,18.5,18.8,18.9,0.36,0.4,0.52,0.72,0.773043478261,0.804869565217,0.81547826087
