system_representability,condition,initial_condition_set,system_dim,threshold,n_cells,cells_above_threshold,share_above_threshold
exact,pretune_off,1,1,0.25,18,0,0
exact,pretune_off,1,1,0.5,18,0,0
exact,pretune_off,1,1,0.75,18,0,0
exact,pretune_off,1,1,0.9,18,0,0
exact,pretune_off,1,2,0.25,27,5,0.185185185185
exact,pretune_off,1,2,0.5,27,0,0
exact,pretune_off,1,2,0.75,27,0,0
exact,pretune_off,1,2,0.9,27,0,0
exact,pretune_off,1,3,0.25,12,3,0.25
exact,pretune_off,1,3,0.5,12,0,0
exact,pretune_off,1,3,0.75,12,0,0
exact,pretune_off,1,3,0.9,12,0,0
exact,pretune_off,1,4,0.25,3,3,1
exact,pretune_off,1,4,0.5,3,3,1
exact,pretune_off,1,4,0.75,3,3,1
exact,pretune_off,1,4,0.9,3,3,1
exact,pretune_off,2,1,0.25,18,5,0.277777777778
exact,pretune_off,2,1,0.5,18,4,0.222222222222
exact,pretune_off,2,1,0.75,18,1,0.0555555555556
exact,pretune_off,2,1,0.9,18,0,0
exact,pretune_off,2,2,0.25,27,7,0.259259259259
exact,pretune_off,2,2,0.5,27,5,0.185185185185
exact,pretune_off,2,2,0.75,27,3,0.111111111111
exact,pretune_off,2,2,0.9,27,3,0.111111111111
exact,pretune_off,2,3,0.25,12,3,0.25
exact,pretune_off,2,3,0.5,12,1,0.0833333333333
exact,pretune_off,2,3,0.75,12,0,0
exact,pretune_off,2,3,0.9,12,0,0
exact,pretune_off,2,4,0.25,3,3,1
exact,pretune_off,2,4,0.5,3,3,1
exact,pretune_off,2,4,0.75,3,3,1
exact,pretune_off,2,4,0.9,3,3,1
exact,pretune_on,1,1,0.25,18,6,0.333333333333
exact,pretune_on,1,1,0.5,18,3,0.166666666667
exact,pretune_on,1,1,0.75,18,3,0.166666666667
exact,pretune_on,1,1,0.9,18,3,0.166666666667
exact,pretune_on,1,2,0.25,27,6,0.222222222222
exact,pretune_on,1,2,0.5,27,0,0
exact,pretune_on,1,2,0.75,27,0,0
exact,pretune_on,1,2,0.9,27,0,0
exact,pretune_on,1,3,0.25,12,6,0.5
exact,pretune_on,1,3,0.5,12,0,0
exact,pretune_on,1,3,0.75,12,0,0
exact,pretune_on,1,3,0.9,12,0,0
exact,pretune_on,1,4,0.25,3,3,1
exact,pretune_on,1,4,0.5,3,3,1
exact,pretune_on,1,4,0.75,3,3,1
exact,pretune_on,1,4,0.9,3,3,1
exact,pretune_on,2,1,0.25,18,6,0.333333333333
exact,pretune_on,2,1,0.5,18,6,0.333333333333
exact,pretune_on,2,1,0.75,18,3,0.166666666667
exact,pretune_on,2,1,0.9,18,3,0.166666666667
exact,pretune_on,2,2,0.25,27,15,0.555555555556
exact,pretune_on,2,2,0.5,27,9,0.333333333333
exact,pretune_on,2,2,0.75,27,6,0.222222222222
exact,pretune_on,2,2,0.9,27,6,0.222222222222
exact,pretune_on,2,3,0.25,12,7,0.583333333333
exact,pretune_on,2,3,0.5,12,0,0
exact,pretune_on,2,3,0.75,12,0,0
exact,pretune_on,2,3,0.9,12,0,0
exact,pretune_on,2,4,0.25,3,3,1
exact,pretune_on,2,4,0.5,3,3,1
exact,pretune_on,2,4,0.75,3,3,1
exact,pretune_on,2,4,0.9,3,3,1
surrogate,pretune_off,1,1,0.25,51,29,0.56862745098
surrogate,pretune_off,1,1,0.5,51,14,0.274509803922
surrogate,pretune_off,1,1,0.75,51,3,0.0588235294118
surrogate,pretune_off,1,1,0.9,51,0,0
surrogate,pretune_off,1,2,0.25,57,29,0.508771929825
surrogate,pretune_off,1,2,0.5,57,15,0.263157894737
surrogate,pretune_off,1,2,0.75,57,15,0.263157894737
surrogate,pretune_off,1,2,0.9,57,8,0.140350877193
surrogate,pretune_off,1,3,0.25,18,9,0.5
