aggregation_level,system_dim,condition,initial_condition_set,n_exact_cells,raw_exact_support_match_count,pruned_exact_support_match_count,pruning_rescued_support_match_count,raw_exact_support_match_rate,pruned_exact_support_match_rate,pruning_rescued_support_match_rate
overall,,,,240,70,110,40,0.291666666667,0.458333333333,0.166666666667
by_dimension,1,,,72,51,57,6,0.708333333333,0.791666666667,0.0833333333333
by_dimension,2,,,108,19,53,34,0.175925925926,0.490740740741,0.314814814815
by_dimension,3,,,48,0,0,0,0,0,0
by_dimension,4,,,12,0,0,0,0,0,0
by_condition,,pretune_off,,120,34,60,26,0.283333333333,0.5,0.216666666667
by_condition,,pretune_on,,120,36,50,14,0.3,0.416666666667,0.116666666667
by_initial_condition_set,,,1,120,37,62,25,0.308333333333,0.516666666667,0.208333333333
by_initial_condition_set,,,2,120,33,48,15,0.275,0.4,0.125
by_dimension_condition_initial_condition_set,1,pretune_off,1,18,15,18,3,0.833333333333,1,0.166666666667
by_dimension_condition_initial_condition_set,1,pretune_off,2,18,12,12,0,0.666666666667,0.666666666667,0
by_dimension_condition_initial_condition_set,1,pretune_on,1,18,12,15,3,0.666666666667,0.833333333333,0.166666666667
by_dimension_condition_initial_condition_set,1,pretune_on,2,18,12,12,0,0.666666666667,0.666666666667,0
by_dimension_condition_initial_condition_set,2,pretune_off,1,27,4,15,11,0.148148148148,0.555555555556,0.407407407407
by_dimension_condition_initial_condition_set,2,pretune_off,2,27,3,15,12,0.111111111111,0.555555555556,0.444444444444
by_dimension_condition_initial_condition_set,2,pretune_on,1,27,6,14,8,0.222222222222,0.518518518519,0.296296296296
by_dimension_condition_initial_condition_set,2,pretune_on,2,27,6,9,3,0.222222222222,0.333333333333,0.111111111111
by_dimension_condition_initial_condition_set,3,pretune_off,1,12,0,0,0,0,0,0
by_dimension_condition_initial_condition_set,3,pretune_off,2,12,0,0,0,0,0,0
by_dimension_condition_initial_condition_set,3,pretune_on,1,12,0,0,0,0,0,0
by_dimension_condition_initial_condition_set,3,pretune_on,2,12,0,0,0,0,0,0
by_dimension_condition_initial_condition_set,4,pretune_off,1,3,0,0,0,0,0,0
by_dimension_condition_initial_condition_set,4,pretune_off,2,3,0,0,0,0,0,0
by_dimension_condition_initial_condition_set,4,pretune_on,1,3,0,0,0,0,0,0
by_dimension_condition_initial_condition_set,4,pretune_on,2,3,0,0,0,0,0,0
