run_id,experiment_id,system_id,variant_slug,seed,initial_condition_set,n_equations,n_found_terms_micro,n_true_terms_micro,n_true_positive_terms_micro,n_missing_true_terms,n_extra_found_terms,term_precision_macro,term_recall_macro,structural_f1_macro,term_precision_micro,term_recall_micro,structural_f1_micro,exact_support_match,structural_exact_support_match,derived_registry_exact_support_match,registry_exact_support_match,registry_exact_support_match_agrees,coefficient_relative_error_mean,coefficient_relative_error_max,n_coefficient_terms
1_evogrow_v2_2_stage_capped_pretune_on_1_1_42,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,42,1,1,4,1,1,0,3,0.25,1.0,0.4,0.25,1.0,0.4,False,False,,,True,,,0
2_evogrow_v2_2_stage_capped_pretune_on_1_1_123,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,123,1,1,4,1,1,0,3,0.25,1.0,0.4,0.25,1.0,0.4,False,False,,,True,,,0
3_evogrow_v2_2_stage_capped_pretune_on_1_1_7,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,7,1,1,4,1,1,0,3,0.25,1.0,0.4,0.25,1.0,0.4,False,False,,,True,,,0
4_evogrow_v2_2_stage_capped_pretune_on_1_2_42,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,42,2,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,False,False,,,True,,,0
5_evogrow_v2_2_stage_capped_pretune_on_1_2_123,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,123,2,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,False,False,,,True,,,0
6_evogrow_v2_2_stage_capped_pretune_on_1_2_7,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,7,2,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,False,False,,,True,,,0
7_evogrow_v2_2_stage_capped_pretune_on_2_1_42,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,42,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
8_evogrow_v2_2_stage_capped_pretune_on_2_1_123,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,123,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
9_evogrow_v2_2_stage_capped_pretune_on_2_1_7,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,7,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
10_evogrow_v2_2_stage_capped_pretune_on_2_2_42,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,42,2,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
11_evogrow_v2_2_stage_capped_pretune_on_2_2_123,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,123,2,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
12_evogrow_v2_2_stage_capped_pretune_on_2_2_7,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,7,2,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
13_evogrow_v2_2_stage_capped_pretune_on_3_1_42,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,42,1,1,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
14_evogrow_v2_2_stage_capped_pretune_on_3_1_123,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,123,1,1,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
15_evogrow_v2_2_stage_capped_pretune_on_3_1_7,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,7,1,1,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
16_evogrow_v2_2_stage_capped_pretune_on_3_2_42,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
17_evogrow_v2_2_stage_capped_pretune_on_3_2_123,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
18_evogrow_v2_2_stage_capped_pretune_on_3_2_7,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,,,0
19_evogrow_v2_2_stage_capped_pretune_on_4_1_42,paper1_phaseB_v1,4,evogrow_v2_2_stage_capped_pretune_on,42,1,1,3,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,True,,,0
20_evogrow_v2_2_stage_capped_pretune_on_4_1_123,paper1_phaseB_v1,4,evogrow_v2_2_stage_capped_pretune_on,123,1,1,3,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,True,,,0
