run_id,experiment_id,system_id,variant_slug,seed,initial_condition_set,equation_index,n_found_terms,n_true_terms,n_true_positive_terms,n_missing_true_terms,n_extra_found_terms,term_precision,term_recall,structural_f1,exact_support_match,missing_true_terms,extra_found_terms,coefficient_relative_error_mean,coefficient_relative_error_max,n_coefficient_terms
1_evogrow_v2_2_stage_capped_pretune_on_1_1_42,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,42,1,1,4,1,1,0,3,0.25,1.0,0.4,False,,cos(u1)|u1^2|u1^3,,,0
2_evogrow_v2_2_stage_capped_pretune_on_1_1_123,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,123,1,1,4,1,1,0,3,0.25,1.0,0.4,False,,cos(u1)|u1^2|u1^3,,,0
3_evogrow_v2_2_stage_capped_pretune_on_1_1_7,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,7,1,1,4,1,1,0,3,0.25,1.0,0.4,False,,cos(u1)|u1^2|u1^3,,,0
4_evogrow_v2_2_stage_capped_pretune_on_1_2_42,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,42,2,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,False,,u1^2|u1^3,,,0
5_evogrow_v2_2_stage_capped_pretune_on_1_2_123,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,123,2,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,False,,u1^2|u1^3,,,0
6_evogrow_v2_2_stage_capped_pretune_on_1_2_7,paper1_phaseB_v1,1,evogrow_v2_2_stage_capped_pretune_on,7,2,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,False,,u1^2|u1^3,,,0
7_evogrow_v2_2_stage_capped_pretune_on_2_1_42,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,42,1,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
8_evogrow_v2_2_stage_capped_pretune_on_2_1_123,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,123,1,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
9_evogrow_v2_2_stage_capped_pretune_on_2_1_7,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,7,1,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
10_evogrow_v2_2_stage_capped_pretune_on_2_2_42,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,42,2,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
11_evogrow_v2_2_stage_capped_pretune_on_2_2_123,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,123,2,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
12_evogrow_v2_2_stage_capped_pretune_on_2_2_7,paper1_phaseB_v1,2,evogrow_v2_2_stage_capped_pretune_on,7,2,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
13_evogrow_v2_2_stage_capped_pretune_on_3_1_42,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,42,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
14_evogrow_v2_2_stage_capped_pretune_on_3_1_123,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,123,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
15_evogrow_v2_2_stage_capped_pretune_on_3_1_7,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,7,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
16_evogrow_v2_2_stage_capped_pretune_on_3_2_42,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
17_evogrow_v2_2_stage_capped_pretune_on_3_2_123,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
18_evogrow_v2_2_stage_capped_pretune_on_3_2_7,paper1_phaseB_v1,3,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
19_evogrow_v2_2_stage_capped_pretune_on_4_1_42,paper1_phaseB_v1,4,evogrow_v2_2_stage_capped_pretune_on,42,1,1,3,0,0,0,3,0.0,0.0,0.0,False,,u1|u1^2|u1^3,,,0
20_evogrow_v2_2_stage_capped_pretune_on_4_1_123,paper1_phaseB_v1,4,evogrow_v2_2_stage_capped_pretune_on,123,1,1,3,0,0,0,3,0.0,0.0,0.0,False,,u1|u1^2|u1^3,,,0
21_evogrow_v2_2_stage_capped_pretune_on_4_1_7,paper1_phaseB_v1,4,evogrow_v2_2_stage_capped_pretune_on,7,1,1,3,0,0,0,3,0.0,0.0,0.0,False,,u1|u1^2|u1^3,,,0
22_evogrow_v2_2_stage_capped_pretune_on_4_2_42,paper1_phaseB_v1,4,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,0,0,0,2,0.0,0.0,0.0,False,,cos(u1)|u1,,,0
23_evogrow_v2_2_stage_capped_pretune_on_4_2_123,paper1_phaseB_v1,4,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,0,0,0,2,0.0,0.0,0.0,False,,cos(u1)|u1,,,0
24_evogrow_v2_2_stage_capped_pretune_on_4_2_7,paper1_phaseB_v1,4,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,0,0,0,2,0.0,0.0,0.0,False,,cos(u1)|u1,,,0
25_evogrow_v2_2_stage_capped_pretune_on_5_1_42,paper1_phaseB_v1,5,evogrow_v2_2_stage_capped_pretune_on,42,1,1,5,1,1,0,4,0.2,1.0,0.33333333333333337,False,,cos(u1)|sin(u1)|u1|u1^3,,,0
26_evogrow_v2_2_stage_capped_pretune_on_5_1_123,paper1_phaseB_v1,5,evogrow_v2_2_stage_capped_pretune_on,123,1,1,5,1,1,0,4,0.2,1.0,0.33333333333333337,False,,cos(u1)|sin(u1)|u1|u1^3,,,0
27_evogrow_v2_2_stage_capped_pretune_on_5_1_7,paper1_phaseB_v1,5,evogrow_v2_2_stage_capped_pretune_on,7,1,1,5,1,1,0,4,0.2,1.0,0.33333333333333337,False,,cos(u1)|sin(u1)|u1|u1^3,,,0
28_evogrow_v2_2_stage_capped_pretune_on_5_2_42,paper1_phaseB_v1,5,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,1,1,0,1,0.5,1.0,0.6666666666666666,False,,u1,,,0
