run_id,experiment_id,system_id,variant_slug,seed,initial_condition_set,n_equations,n_found_terms_micro,n_true_terms_micro,n_true_positive_terms_micro,n_missing_true_terms,n_extra_found_terms,term_precision_macro,term_recall_macro,structural_f1_macro,term_precision_micro,term_recall_micro,structural_f1_micro,exact_support_match,structural_exact_support_match,derived_registry_exact_support_match,registry_exact_support_match,registry_exact_support_match_agrees,coefficient_relative_error_mean,coefficient_relative_error_max,n_coefficient_terms
61_evogrow_v2_2_stage_capped_pretune_on_11_1_42,paper1_phaseB_v1,11,evogrow_v2_2_stage_capped_pretune_on,42,1,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,False,False,False,True,False,,,0
62_evogrow_v2_2_stage_capped_pretune_on_11_1_123,paper1_phaseB_v1,11,evogrow_v2_2_stage_capped_pretune_on,123,1,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,False,False,False,True,False,,,0
63_evogrow_v2_2_stage_capped_pretune_on_11_1_7,paper1_phaseB_v1,11,evogrow_v2_2_stage_capped_pretune_on,7,1,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,False,False,False,True,False,,,0
157_evogrow_v2_2_stage_capped_pretune_on_27_1_42,paper1_phaseB_v1,27,evogrow_v2_2_stage_capped_pretune_on,42,1,2,7,4,4,0,3,0.5833333333333333,1.0,0.7333333333333334,0.5714285714285714,1.0,0.7272727272727273,False,False,False,True,False,,,0
158_evogrow_v2_2_stage_capped_pretune_on_27_1_123,paper1_phaseB_v1,27,evogrow_v2_2_stage_capped_pretune_on,123,1,2,8,4,4,0,4,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,False,False,False,True,False,,,0
160_evogrow_v2_2_stage_capped_pretune_on_27_2_42,paper1_phaseB_v1,27,evogrow_v2_2_stage_capped_pretune_on,42,2,2,10,4,4,0,6,0.4,1.0,0.5714285714285715,0.4,1.0,0.5714285714285715,False,False,False,True,False,,,0
161_evogrow_v2_2_stage_capped_pretune_on_27_2_123,paper1_phaseB_v1,27,evogrow_v2_2_stage_capped_pretune_on,123,2,2,10,4,4,0,6,0.4,1.0,0.5714285714285715,0.4,1.0,0.5714285714285715,False,False,False,True,False,,,0
162_evogrow_v2_2_stage_capped_pretune_on_27_2_7,paper1_phaseB_v1,27,evogrow_v2_2_stage_capped_pretune_on,7,2,2,10,4,4,0,6,0.4,1.0,0.5714285714285715,0.4,1.0,0.5714285714285715,False,False,False,True,False,,,0
187_evogrow_v2_2_stage_capped_pretune_on_32_1_42,paper1_phaseB_v1,32,evogrow_v2_2_stage_capped_pretune_on,42,1,2,9,4,4,0,5,0.425,1.0,0.575,0.4444444444444444,1.0,0.6153846153846153,False,False,False,True,False,,,0
188_evogrow_v2_2_stage_capped_pretune_on_32_1_123,paper1_phaseB_v1,32,evogrow_v2_2_stage_capped_pretune_on,123,1,2,9,4,4,0,5,0.425,1.0,0.575,0.4444444444444444,1.0,0.6153846153846153,False,False,False,True,False,,,0
189_evogrow_v2_2_stage_capped_pretune_on_32_1_7,paper1_phaseB_v1,32,evogrow_v2_2_stage_capped_pretune_on,7,1,2,9,4,4,0,5,0.425,1.0,0.575,0.4444444444444444,1.0,0.6153846153846153,False,False,False,True,False,,,0
223_evogrow_v2_2_stage_capped_pretune_on_38_1_42,paper1_phaseB_v1,38,evogrow_v2_2_stage_capped_pretune_on,42,1,2,11,4,4,0,7,0.35,1.0,0.5,0.36363636363636365,1.0,0.5333333333333333,False,False,False,True,False,,,0
