system_id,system_name,system_dim,system_representability,initial_condition_set,condition,n_cells,exact_support_match_rate,r2_median,loss_q50,loss_q90,final_stage_q50,stage_caps,total_loss_evals_q50,total_ode_solves_q50,total_parameter_fits_q50,silent_levels_q50,silent_levels_sum,silent_fraction_q50,silent_fraction_q90,level_event_count_q50
1,RC-circuit (charging capacitor),1,surrogate,1,pretune_off,3,,0.9999880667015916,6.63048899214e-05,6.6304890975e-05,5,[5],572604,572604,410,2,7,0.1,0.14,20
1,RC-circuit (charging capacitor),1,surrogate,1,pretune_on,3,,0.9999880667006428,6.63048951931e-05,6.63048951931e-05,5,[5],1906176,1906176,410,3,9,0.15,0.15,20
1,RC-circuit (charging capacitor),1,surrogate,2,pretune_off,3,,0.9997791483178248,0.000106615991479,0.000106615991486,5,[5],231744,231744,410,6,18,0.3,0.34,20
1,RC-circuit (charging capacitor),1,surrogate,2,pretune_on,3,,0.999779148317866,0.000106615991459,0.000106615991459,5,[5],114168,114168,410,7,21,0.35,0.35,20
2,Population growth (naive),1,exact,1,pretune_off,3,1.0,,1.95581264025e-12,1.95581266475e-12,1,[null],2871,2871,30,0,0,0,0,1
2,Population growth (naive),1,exact,1,pretune_on,3,1.0,,1.8637666178e-12,1.8637666178e-12,1,[null],600000,600000,30,0,0,0,0,1
2,Population growth (naive),1,exact,2,pretune_off,3,1.0,,6.56045457821e-14,6.56045482736e-14,1,[null],2436,2436,30,0,0,0,0,1
2,Population growth (naive),1,exact,2,pretune_on,3,1.0,,6.56045388907e-14,6.56045388907e-14,1,[null],480,480,30,0,0,0,0,1
3,Population growth with carrying capacity,1,exact,1,pretune_off,3,1.0,,1.26419651022e-09,6.46588092534e-09,2,[2],151137,151137,110,0,0,0,0,5
3,Population growth with carrying capacity,1,exact,1,pretune_on,3,1.0,,1.34161969691e-08,1.34161969691e-08,2,[2],58050,58050,170,3,9,0.375,0.375,8
3,Population growth with carrying capacity,1,exact,2,pretune_off,3,1.0,,7.41229320668e-09,1.988271528e-08,2,[2],97756,97756,130,0,2,0,0.2,6
3,Population growth with carrying capacity,1,exact,2,pretune_on,3,1.0,,4.81907871736e-09,4.81907871736e-09,2,[2],198290,198290,110,0,0,0,0,5
