basis_name,system_id,dim,description,equation_index,n_true_terms,n_representable_true_terms,n_nonrepresentable_true_terms,representability_class,matched_basis_terms,unmatched_terms
default_staged_polynomial_basis,1,1,RC-circuit (charging capacitor),1,2,1,1,partially_representable,u1,0.303030303030303 [constant_offset]
default_staged_polynomial_basis,2,1,Population growth (naive),1,1,1,0,fully_representable,u1,
default_staged_polynomial_basis,3,1,Population growth with carrying capacity,1,2,2,0,fully_representable,u1|u1^2,
default_staged_polynomial_basis,4,1,RC-circuit with non-linear resistor (charging capacitor),1,2,0,2,non_representable,,-0.500000000000000 [constant_offset]|1/(1 + 1.64872127070013*exp(-1.04166666666667*u1)) [unsupported_function]
default_staged_polynomial_basis,5,1,Velocity of a falling object with air resistance,1,2,1,1,partially_representable,u1^2,9.81000000000000 [constant_offset]
default_staged_polynomial_basis,6,1,Autocatalysis with one fixed abundant chemical,1,2,2,0,fully_representable,u1|u1^2,
default_staged_polynomial_basis,7,1,Gompertz law for tumor growth,1,2,1,1,partially_representable,u1,0.032*u1*log(u1) [unsupported_function]
default_staged_polynomial_basis,8,1,Logistic equation with Allee effect,1,3,3,0,fully_representable,u1|u1^2|u1^3,
default_staged_polynomial_basis,9,1,Language death model for two languages,1,2,1,1,partially_representable,u1,0.320000000000000 [constant_offset]
default_staged_polynomial_basis,10,1,Refined language death model for two languages,1,3,0,3,non_representable,,-0.8*u1*(1 - u1)^1.2 [unsupported_power]|0.2*u1^1.2 [unsupported_power]|-0.2*u1^2.2 [unsupported_power]
default_staged_polynomial_basis,11,1,Naive critical slowing down (statistical mechanics),1,1,1,0,fully_representable,u1^3,
default_staged_polynomial_basis,12,1,Photons in a laser (simple),1,2,2,0,fully_representable,u1|u1^2,
default_staged_polynomial_basis,13,1,Overdamped bead on a rotating hoop,1,2,1,1,partially_representable,sin(u1),0.95157*sin(u1)*cos(u1) [unsupported_function]
default_staged_polynomial_basis,14,1,Budworm outbreak model with predation,1,3,2,1,partially_representable,u1|u1^2,-0.9*u1^2/(u1^2 + 449.44) [unsupported_power]
default_staged_polynomial_basis,15,1,Budworm outbreak with predation (dimensionless),1,3,2,1,partially_representable,u1|u1^2,-u1^2/(u1^2 + 1) [unsupported_power]
default_staged_polynomial_basis,16,1,Landau equation (typical time scale tau = 1),1,3,2,1,partially_representable,u1|u1^3,u1^5 [unsupported_power]
default_staged_polynomial_basis,17,1,Logistic equation with harvesting/fishing,1,3,2,1,partially_representable,u1|u1^2,-0.300000000000000 [constant_offset]
default_staged_polynomial_basis,18,1,Improved logistic equation with harvesting/fishing,1,3,2,1,partially_representable,u1|u1^2,-0.24*u1/(u1 + 50.0) [unsupported_power]
default_staged_polynomial_basis,19,1,Improved logistic equation with harvesting/fishing (dimensionless),1,3,2,1,partially_representable,u1|u1^2,-0.08*u1/(u1 + 0.8) [unsupported_power]
default_staged_polynomial_basis,20,1,Autocatalytic gene switching (dimensionless),1,3,1,2,partially_representable,u1,u1^2/(u1^2 + 1) [unsupported_power]|0.100000000000000 [constant_offset]
default_staged_polynomial_basis,21,1,Dimensionally reduced SIR infection model for dead people (dimensionless),1,3,1,2,partially_representable,u1,1.20000000000000 [constant_offset]|-exp(-u1) [unsupported_function]
default_staged_polynomial_basis,22,1,"Hysteretic activation of a protein expression (positive feedback, basal promoter expression)",1,3,1,2,partially_representable,u1,0.4*u1^5/(u1^5 + 123.0) [unsupported_power]|1.40000000000000 [constant_offset]
default_staged_polynomial_basis,23,1,Overdamped pendulum with constant driving torque/fireflies/Josephson junction (dimensionless),1,2,1,1,partially_representable,sin(u1),0.210000000000000 [constant_offset]
default_staged_polynomial_basis,24,2,Harmonic oscillator without damping,1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,24,2,Harmonic oscillator without damping,2,1,1,0,fully_representable,u1,
default_staged_polynomial_basis,25,2,Harmonic oscillator with damping,1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,25,2,Harmonic oscillator with damping,2,2,2,0,fully_representable,u1|u2,
default_staged_polynomial_basis,26,2,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),1,3,3,0,fully_representable,u1|u1^2|u1*u2,
default_staged_polynomial_basis,26,2,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),2,3,3,0,fully_representable,u2|u2^2|u1*u2,
default_staged_polynomial_basis,27,2,Lotka-Volterra simple (as on Wikipedia),1,2,2,0,fully_representable,u1|u1*u2,
default_staged_polynomial_basis,27,2,Lotka-Volterra simple (as on Wikipedia),2,2,2,0,fully_representable,u2|u1*u2,
default_staged_polynomial_basis,28,2,Pendulum without friction,1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,28,2,Pendulum without friction,2,1,1,0,fully_representable,sin(u1),
default_staged_polynomial_basis,29,2,Dipole fixed point,1,1,1,0,fully_representable,u1*u2,
default_staged_polynomial_basis,29,2,Dipole fixed point,2,2,2,0,fully_representable,u1^2|u2^2,
default_staged_polynomial_basis,30,2,RNA molecules catalyzing each others replication,1,2,1,1,partially_representable,u1*u2,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,30,2,RNA molecules catalyzing each others replication,2,2,1,1,partially_representable,u1*u2,u1*u2^2 [mixed_higher_order_term]
default_staged_polynomial_basis,31,2,SIR infection model only for healthy and sick,1,1,1,0,fully_representable,u1*u2,
default_staged_polynomial_basis,31,2,SIR infection model only for healthy and sick,2,2,2,0,fully_representable,u2|u1*u2,
default_staged_polynomial_basis,32,2,Damped double well oscillator,1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,32,2,Damped double well oscillator,2,3,3,0,fully_representable,u1|u2|u1^3,
default_staged_polynomial_basis,33,2,Glider (dimensionless),1,2,2,0,fully_representable,u1^2|sin(u2),
default_staged_polynomial_basis,33,2,Glider (dimensionless),2,2,1,1,partially_representable,u1,-cos(u2)/u1 [unsupported_function]
default_staged_polynomial_basis,34,2,Frictionless bead on a rotating hoop (dimensionless),1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,34,2,Frictionless bead on a rotating hoop (dimensionless),2,2,1,1,partially_representable,sin(u1),sin(u1)*cos(u1) [unsupported_function]
default_staged_polynomial_basis,35,2,Rotational dynamics of an object in a shear flow,1,1,0,1,non_representable,,cos(u1)*cot(u2) [unsupported_function]
default_staged_polynomial_basis,35,2,Rotational dynamics of an object in a shear flow,2,2,0,2,non_representable,,4.2*sin(u1)*sin(u2)^2 [unsupported_function]|sin(u1)*cos(u2)^2 [unsupported_function]
default_staged_polynomial_basis,36,2,"Pendulum with non-linear damping, no driving (dimensionless)",1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,36,2,"Pendulum with non-linear damping, no driving (dimensionless)",2,3,2,1,partially_representable,u2|sin(u1),-0.07*u2*cos(u1) [unsupported_function]
default_staged_polynomial_basis,37,2,Van der Pol oscillator (standard form),1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,37,2,Van der Pol oscillator (standard form),2,3,2,1,partially_representable,u1|u2,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,38,2,Van der Pol oscillator (simplified form from Strogatz),1,3,3,0,fully_representable,u1|u2|u1^3,
default_staged_polynomial_basis,38,2,Van der Pol oscillator (simplified form from Strogatz),2,1,1,0,fully_representable,u1,
default_staged_polynomial_basis,39,2,"Glycolytic oscillator, e.g., ADP and F6P in yeast (dimensionless)",1,3,2,1,partially_representable,u1|u2,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,39,2,"Glycolytic oscillator, e.g., ADP and F6P in yeast (dimensionless)",2,3,1,2,partially_representable,u1,u1^2*u2 [mixed_higher_order_term]|0.0700000000000000 [constant_offset]
default_staged_polynomial_basis,40,2,Duffing equation (weakly non-linear oscillation),1,1,1,0,fully_representable,u2,
default_staged_polynomial_basis,40,2,Duffing equation (weakly non-linear oscillation),2,3,2,1,partially_representable,u1|u2,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,41,2,Cell cycle model by Tyson for interaction between protein cdc2 and cyclin (dimensionless),1,4,3,1,partially_representable,u1|u2|u1^3,u1^2*u2 [mixed_higher_order_term]
default_staged_polynomial_basis,41,2,Cell cycle model by Tyson for interaction between protein cdc2 and cyclin (dimensionless),2,2,1,1,partially_representable,u1,0.300000000000000 [constant_offset]
default_staged_polynomial_basis,42,2,Reduced model for chlorine dioxide-iodine-malonic acid rection (dimensionless),1,3,1,2,partially_representable,u1,-4.0*u1*u2/(u1^2 + 1) [unsupported_power]|8.90000000000000 [constant_offset]
