system_id,dim,shapes,evoode_staged,sindy_poly,sindy_esc1,sindy_esc2,proged_polynomial,proged_rational,proged_trigonometric
1,1,constant,N,Y,Y,Y,Y,Y,Y
2,1,-,Y,Y,Y,Y,Y,Y,Y
3,1,-,Y,Y,Y,Y,Y,Y,Y
4,1,constant|rational,N,N,N,N,N,Y,N
5,1,constant,N,Y,Y,Y,Y,Y,Y
6,1,-,Y,Y,Y,Y,Y,Y,Y
7,1,log,N,N,N,Y,N,N,N
8,1,-,Y,Y,Y,Y,Y,Y,Y
9,1,constant,N,Y,Y,Y,Y,Y,Y
10,1,power_noninteger,N,N,N,U,N,U,N
11,1,-,Y,Y,Y,Y,Y,Y,Y
12,1,-,Y,Y,Y,Y,Y,Y,Y
13,1,trig_product,N,N,U,U,N,N,U
14,1,rational,N,N,N,N,N,Y,N
15,1,rational,N,N,N,N,N,Y,N
16,1,poly_high,N,Y,Y,Y,Y,Y,Y
17,1,constant,N,Y,Y,Y,Y,Y,Y
18,1,rational,N,N,N,N,N,Y,N
19,1,rational,N,N,N,N,N,Y,N
20,1,constant|rational,N,N,N,N,N,Y,N
21,1,constant|exp,N,N,Y,Y,N,N,N
22,1,constant|rational,N,N,N,N,N,Y,N
23,1,constant,N,Y,Y,Y,Y,Y,Y
24,2,-,Y,Y,Y,Y,Y,Y,Y
25,2,-,Y,Y,Y,Y,Y,Y,Y
26,2,-,Y,Y,Y,Y,Y,Y,Y
27,2,-,Y,Y,Y,Y,Y,Y,Y
28,2,-,Y,Y,Y,Y,Y,Y,Y
29,2,-,Y,Y,Y,Y,Y,Y,Y
30,2,poly_mixed,N,Y,Y,Y,Y,Y,Y
31,2,-,Y,Y,Y,Y,Y,Y,Y
32,2,-,Y,Y,Y,Y,Y,Y,Y
33,2,reciprocal_product,N,N,N,U,N,Y,N
34,2,trig_product,N,N,U,U,N,N,U
35,2,trig_plain|trig_product,N,N,U,U,N,N,U
36,2,trig_plain,N,N,Y,Y,N,N,Y
37,2,poly_mixed,N,Y,Y,Y,Y,Y,Y
38,2,-,Y,Y,Y,Y,Y,Y,Y
39,2,constant|poly_mixed,N,Y,Y,Y,Y,Y,Y
40,2,poly_mixed,N,Y,Y,Y,Y,Y,Y
41,2,constant|poly_mixed,N,Y,Y,Y,Y,Y,Y
42,2,constant|rational,N,N,N,N,N,Y,N
43,2,constant,N,Y,Y,Y,Y,Y,Y
44,2,abs|constant,N,N,N,N,N,N,N
45,2,constant|poly_mixed,N,Y,Y,Y,Y,Y,Y
46,2,trig_composite_arg,N,N,U,U,N,N,U
47,2,rational,N,N,N,N,N,Y,N
48,2,constant|rational,N,N,N,N,N,Y,N
49,2,constant|poly_mixed,N,Y,Y,Y,Y,Y,Y
50,2,constant|poly_mixed,N,Y,Y,Y,Y,Y,Y
51,2,constant|trig_product,N,N,U,U,N,N,U
52,3,constant,N,Y,Y,Y,Y,Y,Y
53,3,constant|rational,N,N,N,N,N,Y,N
54,3,-,Y,Y,Y,Y,Y,Y,Y
55,3,-,Y,Y,Y,Y,Y,Y,Y
56,3,-,Y,Y,Y,Y,Y,Y,Y
57,3,constant,N,Y,Y,Y,Y,Y,Y
58,3,constant,N,Y,Y,Y,Y,Y,Y
59,3,constant,N,Y,Y,Y,Y,Y,Y
60,3,constant|poly_mixed,N,Y,Y,Y,Y,Y,Y
61,3,-,Y,Y,Y,Y,Y,Y,Y
62,4,rational,N,N,N,N,N,Y,N
63,4,-,Y,Y,Y,Y,Y,Y,Y
