system_id,dim,description,equation_index,equation,representability,expected_stage,expected_eq_stage,matched_basis_terms,unmatched_terms,gap_reason,source,substituted_sets_identical,n_substituted_sets,variable_mapping
1,1,RC-circuit (charging capacitor),1,0.303030303030303 - 0.360750360750361*x_0,surrogate,,,u1,0.303030303030303 [constant_offset],constant_offset,strogatz p.20,true,1,x_0->u1
2,1,Population growth (naive),1,0.23*x_0,exact,1,1,u1,,,strogatz p.22,true,1,x_0->u1
3,1,Population growth with carrying capacity,1,0.79*x_0*(1 - 0.0134589502018843*x_0),exact,2,2,u1|u1^2,,,strogatz p.22,true,1,x_0->u1
4,1,RC-circuit with non-linear resistor (charging capacitor),1,-0.5 + 1/(1 + 1.64872127070013*exp(-1.04166666666667*x_0)),surrogate,,,,-0.500000000000000 [constant_offset]|1/(1 + 1.64872127070013*exp(-1.04166666666667*u1)) [unsupported_function],constant_offset|unsupported_function,strogatz p.38,true,1,x_0->u1
5,1,Velocity of a falling object with air resistance,1,9.81 - 0.0021175*x_0**2,surrogate,,,u1^2,9.81000000000000 [constant_offset],constant_offset,strogatz p.38,true,1,x_0->u1
6,1,Autocatalysis with one fixed abundant chemical,1,-0.5*x_0**2 + 2.1*x_0,exact,2,2,u1|u1^2,,,strogatz p.39,true,1,x_0->u1
7,1,Gompertz law for tumor growth,1,0.032*x_0*log(2.29*x_0),surrogate,,,u1,0.032*u1*log(u1) [unsupported_function],unsupported_function,strogatz p.39,true,1,x_0->u1
8,1,Logistic equation with Allee effect,1,0.14*x_0*(1 - 0.00769230769230769*x_0)*(0.227272727272727*x_0 - 1),exact,4,4,u1|u1^2|u1^3,,,strogatz p.39,true,1,x_0->u1
9,1,Language death model for two languages,1,0.32 - 0.6*x_0,surrogate,,,u1,0.320000000000000 [constant_offset],constant_offset,strogatz p.40,true,1,x_0->u1
10,1,Refined language death model for two languages,1,-0.8*x_0*(1 - x_0)**1.2 + 0.2*x_0**1.2*(1 - x_0),surrogate,,,,-0.8*u1*(1 - u1)^1.2 [unsupported_power]|0.2*u1^1.2 [unsupported_power]|-0.2*u1^2.2 [unsupported_power],unsupported_power,strogatz p.40,true,1,x_0->u1
11,1,Naive critical slowing down (statistical mechanics),1,-x_0**3,exact,4,4,u1^3,,,strogatz p.41,true,1,x_0->u1
12,1,Photons in a laser (simple),1,-0.1107*x_0**2 + 1.8*x_0,exact,2,2,u1|u1^2,,,strogatz p.55,true,1,x_0->u1
13,1,Overdamped bead on a rotating hoop,1,0.0981*(9.7*cos(x_0) - 1)*sin(x_0),surrogate,,,sin(u1),0.95157*sin(u1)*cos(u1) [unsupported_function],unsupported_function,strogatz p.63,true,1,x_0->u1
14,1,Budworm outbreak model with predation,1,-0.9*x_0**2/(x_0**2 + 449.44) + 0.78*x_0*(1 - 0.0123456790123457*x_0),surrogate,,,u1|u1^2,-0.9*u1^2/(u1^2 + 449.44) [unsupported_power],unsupported_power,strogatz p.75,true,1,x_0->u1
15,1,Budworm outbreak with predation (dimensionless),1,-x_0**2/(x_0**2 + 1) + 0.4*x_0*(1 - 0.0105263157894737*x_0),surrogate,,,u1|u1^2,-u1^2/(u1^2 + 1) [unsupported_power],unsupported_power,strogatz p.76,true,1,x_0->u1
16,1,Landau equation (typical time scale tau = 1),1,-0.001*x_0**5 + 0.04*x_0**3 + 0.1*x_0,surrogate,,,u1|u1^3,u1^5 [unsupported_power],unsupported_power,strogatz p.87,true,1,x_0->u1
17,1,Logistic equation with harvesting/fishing,1,0.4*x_0*(1 - 0.01*x_0) - 0.3,surrogate,,,u1|u1^2,-0.300000000000000 [constant_offset],constant_offset,strogatz p.89,true,1,x_0->u1
18,1,Improved logistic equation with harvesting/fishing,1,0.4*x_0*(1 - 0.01*x_0) - 0.24*x_0/(x_0 + 50.0),surrogate,,,u1|u1^2,-0.24*u1/(u1 + 50.0) [unsupported_power],unsupported_power,strogatz p.90,true,1,x_0->u1
19,1,Improved logistic equation with harvesting/fishing (dimensionless),1,x_0*(1 - x_0) - 0.08*x_0/(x_0 + 0.8),surrogate,,,u1|u1^2,-0.08*u1/(u1 + 0.8) [unsupported_power],unsupported_power,strogatz p.90,true,1,x_0->u1
