dimension,arm,initial_condition_set,n_cells,diff_q000,diff_q250,diff_q500,diff_q750,diff_q1000
1,pretune_off,1,69,-1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16
1,pretune_off,2,69,-1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16
1,pretune_on,1,69,-1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16
1,pretune_on,2,69,-1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
2,pretune_off,1,84,-0.005323492992545642,7.188694084447889e-15,9.636122114969892e-05,0.001173601499531246,0.14023333573090324
2,pretune_off,2,84,-0.002317661102234303,3.8746783559417963e-14,2.7403313827167874e-05,0.0033568738273282717,0.2617505792005257
2,pretune_on,1,84,-0.005323489684719407,7.437079285743664e-10,0.0004085079362145527,0.001966813388148969,0.1402333357309269
2,pretune_on,2,84,-0.002212629209809136,-1.2081304696653916e-06,2.3334546020548075e-05,0.00562442002270272,0.2210197111018054
3,pretune_off,1,30,-0.002037526245710408,0.015269360917623688,0.14584177298541368,0.20312395986724474,0.5235976964026561
3,pretune_off,2,30,-0.019068198525388436,0.006991832506105671,0.07164560568702416,0.22463293822127567,0.42997382295180747
3,pretune_on,1,30,-0.028769489226351863,0.0095931056328767,0.11306357748363877,0.23227965138694123,0.47334172235469296
3,pretune_on,2,30,-0.051285342462262073,-0.00010044151782202804,0.045360892763345595,0.089480397798003,0.33992789424910363
4,pretune_off,1,6,-3.373483799895549e-05,-3.4655666014682396e-07,0.21386325249484703,0.42864450485134065,0.6712142470826569
4,pretune_off,2,6,0.0077141497789817715,0.06054509329362645,0.06457550068694584,0.07138844617505338,0.11136229795962449
4,pretune_on,1,6,-6.675781251019863e-05,-2.7354075970487113e-05,0.21385211720378644,0.4286444989751561,0.6712142468680371
4,pretune_on,2,6,0.0005116633684876248,0.04344751931967261,0.06057679475656613,0.06565008611166556,0.07234766524657565
