dimension,arm,initial_condition_set,n_cells,threshold_flip_count,threshold_flip_rate,threshold_flip_up_count,threshold_flip_up_rate,threshold_flip_down_count,threshold_flip_down_rate
1,pretune_off,1,69,0,0.0,0,0.0,0,0.0
1,pretune_off,2,69,0,0.0,0,0.0,0,0.0
1,pretune_on,1,69,0,0.0,0,0.0,0,0.0
1,pretune_on,2,69,0,0.0,0,0.0,0,0.0
2,pretune_off,1,84,3,0.03571428571428571,3,0.03571428571428571,0,0.0
2,pretune_off,2,84,4,0.047619047619047616,4,0.047619047619047616,0,0.0
2,pretune_on,1,84,8,0.09523809523809523,8,0.09523809523809523,0,0.0
2,pretune_on,2,84,3,0.03571428571428571,3,0.03571428571428571,0,0.0
3,pretune_off,1,30,9,0.3,9,0.3,0,0.0
3,pretune_off,2,30,4,0.13333333333333333,4,0.13333333333333333,0,0.0
3,pretune_on,1,30,9,0.3,9,0.3,0,0.0
3,pretune_on,2,30,4,0.13333333333333333,4,0.13333333333333333,0,0.0
4,pretune_off,1,6,1,0.16666666666666666,1,0.16666666666666666,0,0.0
4,pretune_off,2,6,4,0.6666666666666666,4,0.6666666666666666,0,0.0
4,pretune_on,1,6,1,0.16666666666666666,1,0.16666666666666666,0,0.0
4,pretune_on,2,6,3,0.5,3,0.5,0,0.0
