dimension,arm,initial_condition_set,n_cells,r2_arithmetic_mean_gt_0_9_count,r2_arithmetic_mean_gt_0_9_rate,r2_variance_weighted_gt_0_9_count,r2_variance_weighted_gt_0_9_rate
1,pretune_off,1,69,69,1.0,69,1.0
1,pretune_off,2,69,66,0.9565217391304348,66,0.9565217391304348
1,pretune_on,1,69,66,0.9565217391304348,66,0.9565217391304348
1,pretune_on,2,69,66,0.9565217391304348,66,0.9565217391304348
2,pretune_off,1,84,76,0.9047619047619048,79,0.9404761904761905
2,pretune_off,2,84,80,0.9523809523809523,84,1.0
2,pretune_on,1,84,67,0.7976190476190477,75,0.8928571428571429
2,pretune_on,2,84,78,0.9285714285714286,81,0.9642857142857143
3,pretune_off,1,30,6,0.2,15,0.5
3,pretune_off,2,30,5,0.16666666666666666,9,0.3
3,pretune_on,1,30,8,0.26666666666666666,17,0.5666666666666667
3,pretune_on,2,30,12,0.4,16,0.5333333333333333
4,pretune_off,1,6,3,0.5,4,0.6666666666666666
4,pretune_off,2,6,2,0.3333333333333333,6,1.0
4,pretune_on,1,6,3,0.5,4,0.6666666666666666
4,pretune_on,2,6,3,0.5,6,1.0
