system_id,fit_initial_condition_set,generalization_initial_condition_set,odeformer_config_id,repetition_count,all_bitwise_identical,handler_timeout_count_min,handler_timeout_count_max,r2_gt_0_9_flip
1,1,2,beam10_noopt,3,True,0,0,False
1,1,2,beam10_opt,3,True,0,0,False
1,1,2,beam50_noopt,3,True,0,0,False
1,1,2,beam50_opt,3,True,0,0,False
1,2,1,beam10_noopt,3,True,0,0,False
1,2,1,beam10_opt,3,True,0,0,False
1,2,1,beam50_noopt,3,True,0,0,False
1,2,1,beam50_opt,3,True,0,0,False
2,1,2,beam10_noopt,3,True,0,0,False
2,1,2,beam10_opt,3,True,0,0,False
2,1,2,beam50_noopt,3,True,1,1,False
2,1,2,beam50_opt,3,True,1,1,False
2,2,1,beam10_noopt,3,True,0,0,False
2,2,1,beam10_opt,3,True,0,0,False
2,2,1,beam50_noopt,3,True,1,1,False
2,2,1,beam50_opt,3,True,1,1,False
3,1,2,beam10_noopt,3,True,0,0,False
3,1,2,beam10_opt,3,True,0,1,False
3,1,2,beam50_noopt,3,True,0,0,False
3,1,2,beam50_opt,3,True,0,1,False
3,2,1,beam10_noopt,3,True,0,0,False
3,2,1,beam10_opt,3,True,0,0,False
3,2,1,beam50_noopt,3,True,0,0,False
3,2,1,beam50_opt,3,True,0,0,False
4,1,2,beam10_noopt,3,True,0,0,False
4,1,2,beam10_opt,3,True,0,0,False
4,1,2,beam50_noopt,3,True,0,0,False
4,1,2,beam50_opt,3,True,0,0,False
4,2,1,beam10_noopt,3,True,0,0,False
4,2,1,beam10_opt,3,False,0,1,True
4,2,1,beam50_noopt,3,True,1,1,False
4,2,1,beam50_opt,3,True,9,9,False
5,1,2,beam10_noopt,3,True,0,0,False
5,1,2,beam10_opt,3,True,0,0,False
5,1,2,beam50_noopt,3,True,0,0,False
5,1,2,beam50_opt,3,True,0,0,False
5,2,1,beam10_noopt,3,True,0,0,False
5,2,1,beam10_opt,3,True,0,0,False
5,2,1,beam50_noopt,3,True,0,0,False
5,2,1,beam50_opt,3,True,0,0,False
6,1,2,beam10_noopt,3,True,0,0,False
6,1,2,beam10_opt,3,True,0,0,False
6,1,2,beam50_noopt,3,True,0,0,False
6,1,2,beam50_opt,3,True,0,0,False
6,2,1,beam10_noopt,3,True,0,0,False
6,2,1,beam10_opt,3,True,0,0,False
6,2,1,beam50_noopt,3,True,0,0,False
6,2,1,beam50_opt,3,True,0,0,False
7,1,2,beam10_noopt,3,True,0,0,False
7,1,2,beam10_opt,3,True,0,0,False
7,1,2,beam50_noopt,3,True,0,0,False
7,1,2,beam50_opt,3,True,0,0,False
7,2,1,beam10_noopt,3,True,0,0,False
7,2,1,beam10_opt,3,True,0,1,False
7,2,1,beam50_noopt,3,True,0,0,False
7,2,1,beam50_opt,3,True,0,1,False
8,1,2,beam10_noopt,3,True,1,1,False
8,1,2,beam10_opt,3,True,0,1,False
8,1,2,beam50_noopt,3,True,1,1,False
8,1,2,beam50_opt,3,True,1,1,False
8,2,1,beam10_noopt,3,True,0,0,False
8,2,1,beam10_opt,3,True,0,0,False
8,2,1,beam50_noopt,3,True,0,0,False
8,2,1,beam50_opt,3,True,0,0,False
9,1,2,beam10_noopt,3,True,0,0,False
9,1,2,beam10_opt,3,True,0,0,False
9,1,2,beam50_noopt,3,True,0,0,False
9,1,2,beam50_opt,3,True,0,0,False
9,2,1,beam10_noopt,3,True,0,0,False
9,2,1,beam10_opt,3,True,0,0,False
9,2,1,beam50_noopt,3,True,0,0,False
9,2,1,beam50_opt,3,True,0,0,False
10,1,2,beam10_noopt,3,True,0,0,False
10,1,2,beam10_opt,3,True,0,0,False
10,1,2,beam50_noopt,3,True,0,0,False
10,1,2,beam50_opt,3,True,0,0,False
10,2,1,beam10_noopt,3,True,0,0,False
10,2,1,beam10_opt,3,True,0,0,False
10,2,1,beam50_noopt,3,True,0,0,False
10,2,1,beam50_opt,3,True,0,0,False
11,1,2,beam10_noopt,3,True,0,0,False
11,1,2,beam10_opt,3,True,6,6,False
11,1,2,beam50_noopt,3,False,0,1,True
11,1,2,beam50_opt,3,False,1,7,False
11,2,1,beam10_noopt,3,True,0,0,False
11,2,1,beam10_opt,3,True,0,0,False
11,2,1,beam50_noopt,3,True,0,0,False
11,2,1,beam50_opt,3,True,0,0,False
12,1,2,beam10_noopt,3,True,0,0,False
12,1,2,beam10_opt,3,True,1,1,False
12,1,2,beam50_noopt,3,True,0,0,False
12,1,2,beam50_opt,3,True,1,1,False
12,2,1,beam10_noopt,3,True,0,0,False
12,2,1,beam10_opt,3,True,0,0,False
12,2,1,beam50_noopt,3,True,0,0,False
12,2,1,beam50_opt,3,False,0,1,False
13,1,2,beam10_noopt,3,True,0,0,False
13,1,2,beam10_opt,3,True,1,1,False
13,1,2,beam50_noopt,3,True,0,0,False
13,1,2,beam50_opt,3,False,0,1,False
13,2,1,beam10_noopt,3,True,0,0,False
13,2,1,beam10_opt,3,True,9,9,False
13,2,1,beam50_noopt,3,True,0,0,False
13,2,1,beam50_opt,3,True,10,10,False
14,1,2,beam10_noopt,3,True,0,0,False
14,1,2,beam10_opt,3,True,0,1,False
14,1,2,beam50_noopt,3,True,0,0,False
14,1,2,beam50_opt,3,True,0,1,False
14,2,1,beam10_noopt,3,True,0,0,False
14,2,1,beam10_opt,3,True,0,0,False
14,2,1,beam50_noopt,3,True,0,0,False
14,2,1,beam50_opt,3,True,0,0,False
15,1,2,beam10_noopt,3,True,0,0,False
15,1,2,beam10_opt,3,True,0,0,False
15,1,2,beam50_noopt,3,True,0,0,False
15,1,2,beam50_opt,3,True,0,0,False
15,2,1,beam10_noopt,3,True,0,0,False
15,2,1,beam10_opt,3,False,0,1,False
15,2,1,beam50_noopt,3,True,0,1,False
15,2,1,beam50_opt,3,True,8,9,False
16,1,2,beam10_noopt,3,True,0,0,False
16,1,2,beam10_opt,3,True,0,0,False
16,1,2,beam50_noopt,3,True,0,0,False
16,1,2,beam50_opt,3,True,0,0,False
16,2,1,beam10_noopt,3,True,0,0,False
16,2,1,beam10_opt,3,True,1,1,False
16,2,1,beam50_noopt,3,True,0,0,False
16,2,1,beam50_opt,3,True,1,1,False
17,1,2,beam10_noopt,3,True,0,0,False
17,1,2,beam10_opt,3,True,0,0,False
17,1,2,beam50_noopt,3,True,0,0,False
17,1,2,beam50_opt,3,True,0,0,False
17,2,1,beam10_noopt,3,True,0,0,False
17,2,1,beam10_opt,3,True,0,0,False
17,2,1,beam50_noopt,3,True,0,0,False
17,2,1,beam50_opt,3,True,0,0,False
18,1,2,beam10_noopt,3,True,0,0,False
18,1,2,beam10_opt,3,True,0,0,False
