active_terms_pruned,active_terms_raw,dimension,elapsed_s_non_evidence,environment,error_message,error_type,fit_initial_condition_set,fit_state_sha256,generalization_after_optimization_r2_arithmetic_mean,generalization_after_optimization_r2_variance_weighted,generalization_before_optimization_r2_arithmetic_mean,generalization_before_optimization_r2_variance_weighted,generalization_initial_condition_set,generalization_r2_arithmetic_mean,generalization_r2_arithmetic_mean_gt_0_9,generalization_r2_variance_weighted,generalization_r2_variance_weighted_gt_0_9,generalization_state_sha256,generalization_status,git_hash,method,method_config,model,odeformer_beam_early_stopping,odeformer_beam_length_penalty,odeformer_beam_size,odeformer_beam_temperature,odeformer_beam_type,odeformer_candidates_evaluated,odeformer_commit,odeformer_config_id,odeformer_constant_optimization_enabled,odeformer_constant_optimization_eval_objective,odeformer_constant_optimization_init_random,odeformer_constant_optimization_objective,odeformer_constant_optimization_track_eval_history,odeformer_constants_after_optimization,odeformer_constants_before_optimization,odeformer_environment_id,odeformer_eval_subsample_ratio,odeformer_expression_after_optimization,odeformer_expression_before_optimization,odeformer_fitted_constants,odeformer_max_generated_output_len,odeformer_max_input_points,odeformer_model_canonical,odeformer_model_raw,odeformer_optimization_error_message,odeformer_optimization_error_type,odeformer_optimization_nfev,odeformer_optimization_nit,odeformer_optimization_status,odeformer_optimization_stop_reason,odeformer_parameter_optimization,odeformer_parameter_optimization_iterations,odeformer_rescale,odeformer_sort_metric,odeformer_weight_sha256,odeformer_weights_path,reconstruction_after_optimization_r2_arithmetic_mean,reconstruction_after_optimization_r2_variance_weighted,reconstruction_before_optimization_r2_arithmetic_mean,reconstruction_before_optimization_r2_variance_weighted,reconstruction_r2_arithmetic_mean,reconstruction_r2_arithmetic_mean_gt_0_9,reconstruction_r2_variance_weighted,reconstruction_r2_variance_weighted_gt_0_9,reconstruction_status,record_schema,status,structure_hit_pruned,structure_hit_raw,system_id,time_sha256,true_terms
[],[],1,2.233953953999997,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,1,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,0.9987112477003562,0.9987112477003562,0.9987112477003562,0.9987112477003562,2,0.9987112477003562,True,0.9987112477003562,True,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":10,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam10_noopt"",""constant_optimization_enabled"":false,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""disabled"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",0.2835 - 0.3557*x_0,True,1.0,10,0.1,sampling,10,c9193012ad07a97186290b98d8290d1a177f4609,beam10_noopt,False,r2,False,r2,True,"[0.2835,0.3557]","[0.2835,0.3557]",reference,not_applied_full_512_point_trajectory,0.2835 - 0.3557*x_0,0.2835 - 0.3557*x_0,"[0.2835,0.3557]",200,10000,0.2835 - 0.3557*x_0,0.2835 + -0.3557 * x_0,,,0,0,not_requested,,disabled,0,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.9999489027620249,0.9999489027620249,0.9999489027620249,0.9999489027620249,0.9999489027620249,True,0.9999489027620249,True,success,phasec_external_baseline_v1,success,False,False,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
[],[],1,5.495324905,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,1,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,0.9999984313910047,0.9999984313910047,0.9987112477003562,0.9987112477003562,2,0.9999984313910047,True,0.9999984313910047,True,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":10,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam10_opt"",""constant_optimization_enabled"":true,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""odeformer_constant_optimizer"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",0.3023574068790664 - 0.36059301374692987*x_0,True,1.0,10,0.1,sampling,10,c9193012ad07a97186290b98d8290d1a177f4609,beam10_opt,True,r2,False,r2,True,"[0.3023574068790664,0.36059301374692987]","[0.2835,0.3557]",reference,not_applied_full_512_point_trajectory,0.3023574068790664 - 0.36059301374692987*x_0,0.2835 - 0.3557*x_0,"[0.3023574068790664,0.36059301374692987]",200,10000,0.3023574068790664 - 0.36059301374692987*x_0,0.2835 + -0.3557 * x_0,,,21,4,success,Optimization terminated successfully.,odeformer_constant_optimizer,4,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.9999998783536206,0.9999998783536205,0.9999489027620249,0.9999489027620249,0.9999998783536206,True,0.9999998783536205,True,success,phasec_external_baseline_v1,success,False,False,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
[],[],1,22.23578717,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,1,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,0.9987112477003562,0.9987112477003562,0.9987112477003562,0.9987112477003562,2,0.9987112477003562,True,0.9987112477003562,True,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":50,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam50_noopt"",""constant_optimization_enabled"":false,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""disabled"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",0.2835 - 0.3557*x_0,True,1.0,50,0.1,sampling,50,c9193012ad07a97186290b98d8290d1a177f4609,beam50_noopt,False,r2,False,r2,True,"[0.2835,0.3557]","[0.2835,0.3557]",reference,not_applied_full_512_point_trajectory,0.2835 - 0.3557*x_0,0.2835 - 0.3557*x_0,"[0.2835,0.3557]",200,10000,0.2835 - 0.3557*x_0,0.2835 + -0.3557 * x_0,,,0,0,not_requested,,disabled,0,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.9999489027620249,0.9999489027620249,0.9999489027620249,0.9999489027620249,0.9999489027620249,True,0.9999489027620249,True,success,phasec_external_baseline_v1,success,False,False,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
[],[],1,20.668374252999996,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,1,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,0.9999984313910047,0.9999984313910047,0.9987112477003562,0.9987112477003562,2,0.9999984313910047,True,0.9999984313910047,True,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":50,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam50_opt"",""constant_optimization_enabled"":true,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""odeformer_constant_optimizer"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",0.3023574068790664 - 0.36059301374692987*x_0,True,1.0,50,0.1,sampling,50,c9193012ad07a97186290b98d8290d1a177f4609,beam50_opt,True,r2,False,r2,True,"[0.3023574068790664,0.36059301374692987]","[0.2835,0.3557]",reference,not_applied_full_512_point_trajectory,0.3023574068790664 - 0.36059301374692987*x_0,0.2835 - 0.3557*x_0,"[0.3023574068790664,0.36059301374692987]",200,10000,0.3023574068790664 - 0.36059301374692987*x_0,0.2835 + -0.3557 * x_0,,,21,4,success,Optimization terminated successfully.,odeformer_constant_optimizer,4,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.9999998783536206,0.9999998783536205,0.9999489027620249,0.9999489027620249,0.9999998783536206,True,0.9999998783536205,True,success,phasec_external_baseline_v1,success,False,False,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
[],[],1,1.9945193400000107,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,2,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,0.999738825864558,0.9997388258645581,0.999738825864558,0.9997388258645581,1,0.999738825864558,True,0.9997388258645581,True,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":10,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam10_noopt"",""constant_optimization_enabled"":false,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""disabled"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",0.3125 - 0.3676*x_0,True,1.0,10,0.1,sampling,10,c9193012ad07a97186290b98d8290d1a177f4609,beam10_noopt,False,r2,False,r2,True,"[0.3125,0.3676]","[0.3125,0.3676]",reference,not_applied_full_512_point_trajectory,0.3125 - 0.3676*x_0,0.3125 - 0.3676*x_0,"[0.3125,0.3676]",200,10000,0.3125 - 0.3676*x_0,0.3125 + -0.3676 * x_0,,,0,0,not_requested,,disabled,0,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.9998790126376609,0.9998790126376609,0.9998790126376609,0.9998790126376609,0.9998790126376609,True,0.9998790126376609,True,success,phasec_external_baseline_v1,success,False,False,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
[],[],1,1.9682377329999667,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,2,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,0.999999718200426,0.9999997182004261,0.999738825864558,0.9997388258645581,1,0.999999718200426,True,0.9999997182004261,True,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":10,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam10_opt"",""constant_optimization_enabled"":true,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""odeformer_constant_optimizer"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",0.3026866931426157 - 0.36056162200109243*x_0,True,1.0,10,0.1,sampling,10,c9193012ad07a97186290b98d8290d1a177f4609,beam10_opt,True,r2,False,r2,True,"[0.3026866931426157,0.36056162200109243]","[0.3125,0.3676]",reference,not_applied_full_512_point_trajectory,0.3026866931426157 - 0.36056162200109243*x_0,0.3125 - 0.3676*x_0,"[0.3026866931426157,0.36056162200109243]",200,10000,0.3026866931426157 - 0.36056162200109243*x_0,0.3125 + -0.3676 * x_0,,,18,4,success,Optimization terminated successfully.,odeformer_constant_optimizer,4,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.999999812429703,0.999999812429703,0.9998790126376609,0.9998790126376609,0.999999812429703,True,0.999999812429703,True,success,phasec_external_baseline_v1,success,False,False,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
[],[],1,11.915140516000008,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,2,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,0.999738825864558,0.9997388258645581,0.999738825864558,0.9997388258645581,1,0.999738825864558,True,0.9997388258645581,True,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":50,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam50_noopt"",""constant_optimization_enabled"":false,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""disabled"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",0.3125 - 0.3676*x_0,True,1.0,50,0.1,sampling,50,c9193012ad07a97186290b98d8290d1a177f4609,beam50_noopt,False,r2,False,r2,True,"[0.3125,0.3676]","[0.3125,0.3676]",reference,not_applied_full_512_point_trajectory,0.3125 - 0.3676*x_0,0.3125 - 0.3676*x_0,"[0.3125,0.3676]",200,10000,0.3125 - 0.3676*x_0,0.3125 + -0.3676 * x_0,,,0,0,not_requested,,disabled,0,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.9998790126376609,0.9998790126376609,0.9998790126376609,0.9998790126376609,0.9998790126376609,True,0.9998790126376609,True,success,phasec_external_baseline_v1,success,False,False,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
[],[],1,9.626281180999968,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,2,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,0.999999718200426,0.9999997182004261,0.999738825864558,0.9997388258645581,1,0.999999718200426,True,0.9999997182004261,True,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":50,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam50_opt"",""constant_optimization_enabled"":true,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""odeformer_constant_optimizer"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",0.3026866931426157 - 0.36056162200109243*x_0,True,1.0,50,0.1,sampling,50,c9193012ad07a97186290b98d8290d1a177f4609,beam50_opt,True,r2,False,r2,True,"[0.3026866931426157,0.36056162200109243]","[0.3125,0.3676]",reference,not_applied_full_512_point_trajectory,0.3026866931426157 - 0.36056162200109243*x_0,0.3125 - 0.3676*x_0,"[0.3026866931426157,0.36056162200109243]",200,10000,0.3026866931426157 - 0.36056162200109243*x_0,0.3125 + -0.3676 * x_0,,,18,4,success,Optimization terminated successfully.,odeformer_constant_optimizer,4,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.999999812429703,0.999999812429703,0.9998790126376609,0.9998790126376609,0.999999812429703,True,0.999999812429703,True,success,phasec_external_baseline_v1,success,False,False,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
[],[],1,3.7956724529999946,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,1,4536cb1543f6d4039af77e870645d52f3ff6e0b757f0bd98f2cf78d7258188cc,0.9517992256971757,0.9517992256971757,0.9517992256971757,0.9517992256971757,2,0.9517992256971757,True,0.9517992256971757,True,13411f5aa9fe886a381b2f1a81ffdccdc160888eee96023853d23e5a3f63f578,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":10,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam10_noopt"",""constant_optimization_enabled"":false,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""disabled"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",-0.9*x_0/(0.0023*x_0**2 - 4.215),True,1.0,10,0.1,sampling,10,c9193012ad07a97186290b98d8290d1a177f4609,beam10_noopt,False,r2,False,r2,True,"[-0.9,0.0023,2.0,4.215]","[-0.9,0.0023,2.0,4.215]",reference,not_applied_full_512_point_trajectory,-0.9*x_0/(0.0023*x_0**2 - 4.215),-0.9*x_0/(0.0023*x_0**2 - 4.215),"[-0.9,0.0023,2.0,4.215]",200,10000,-0.9*x_0/(0.0023*x_0**2 - 4.215),0.9000 * x_0 * (4.2150 + -0.0023 * (x_0)**2)**-1,,,0,0,not_requested,,disabled,0,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.95639008415748,0.9563900841574798,0.95639008415748,0.9563900841574798,0.95639008415748,True,0.9563900841574798,True,success,phasec_external_baseline_v1,success,False,False,2,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
[],[],1,4.8241953600000045,"{""gdown"":""5.2.2"",""numpy"":""1.23.5"",""pandas"":""1.5.3"",""pysindy"":""1.7.5"",""scikit-learn"":""1.2.2"",""scipy"":""1.10.1"",""sympy"":""1.11.1"",""torch"":""2.0.0+cpu""}",,,1,4536cb1543f6d4039af77e870645d52f3ff6e0b757f0bd98f2cf78d7258188cc,0.9517992046882237,0.9517992046882238,0.9517992256971757,0.9517992256971757,2,0.9517992046882237,True,0.9517992046882238,True,13411f5aa9fe886a381b2f1a81ffdccdc160888eee96023853d23e5a3f63f578,success,unknown,odeformer,"{""beam_early_stopping"":true,""beam_length_penalty"":1.0,""beam_size"":10,""beam_temperature"":0.1,""beam_type"":""sampling"",""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""config_id"":""beam10_opt"",""constant_optimization_enabled"":true,""constant_optimization_eval_objective"":""r2"",""constant_optimization_init_random"":false,""constant_optimization_objective"":""r2"",""constant_optimization_track_eval_history"":true,""environment_id"":""reference"",""eval_subsample_ratio"":""not_applied_full_512_point_trajectory"",""max_generated_output_len"":200,""max_input_points"":10000,""parameter_optimization"":""odeformer_constant_optimizer"",""parameter_optimization_iterations"":0,""rescale"":true,""seed"":2023,""sort_metric"":""snmse"",""weight_sha256"":""56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8"",""weights_path"":""/opt/odeformer/odeformer.pt"",""weights_source"":""google_drive_id_1L_UZ0qgrBVkRuhg5j3BQoGxlvMk_Pm1W""}",-0.8999999850988388*x_0/(0.0023*x_0**2 - 4.215),True,1.0,10,0.1,sampling,10,c9193012ad07a97186290b98d8290d1a177f4609,beam10_opt,True,r2,False,r2,True,"[-0.8999999850988388,0.0023,2.0,4.215]","[-0.9,0.0023,2.0,4.215]",reference,not_applied_full_512_point_trajectory,-0.8999999850988388*x_0/(0.0023*x_0**2 - 4.215),-0.9*x_0/(0.0023*x_0**2 - 4.215),"[-0.8999999850988388,0.0023,2.0,4.215]",200,10000,-0.8999999850988388*x_0/(0.0023*x_0**2 - 4.215),0.9000 * x_0 * (4.2150 + -0.0023 * (x_0)**2)**-1,,,64,0,success,Desired error not necessarily achieved due to precision loss.,odeformer_constant_optimizer,0,True,snmse,56754040be5aa92ed4767fc43ee2008faa293f87c12b643e66c7df3e1623a5e8,/opt/odeformer/odeformer.pt,0.962358059050329,0.9623580590503291,0.95639008415748,0.9563900841574798,0.962358059050329,True,0.9623580590503291,True,success,phasec_external_baseline_v1,success,False,False,2,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,[]
