record_schema,git_hash,odeformer_commit,environment,method,method_config,system_id,dimension,fit_initial_condition_set,generalization_initial_condition_set,time_sha256,fit_state_sha256,generalization_state_sha256,status,error_type,error_message,model,active_terms_raw,active_terms_pruned,true_terms,structure_hit_raw,structure_hit_pruned,reconstruction_status,generalization_status,fit_elapsed_s_context,reconstruction_r2_arithmetic_mean,reconstruction_r2_variance_weighted,generalization_r2_arithmetic_mean,generalization_r2_variance_weighted,reconstruction_r2_arithmetic_mean_gt_0_9,reconstruction_r2_variance_weighted_gt_0_9,generalization_r2_arithmetic_mean_gt_0_9,generalization_r2_variance_weighted_gt_0_9
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",sindy,"{""include_trig"":false,""polynomial_degree"":2,""threshold"":0.01}",1,1,1,2,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,success,,,"{""feature_names"":[""1"",""x0"",""x0^2""],""coefficients"":[[0.303032351491863,-0.3607531662802684,0.0]]}","[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",True,True,success,success,0.05097579999710433,0.9999871986621937,0.9999871986621935,0.9999871945148785,0.9999871945148785,True,True,True,True
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",odeformer,"{""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""weights_source"":""google_drive_via_gdown""}",1,1,1,2,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,error,RuntimeError,ODEFormer is not importable in this environment: No module named 'odeformer',{},[],[],[],False,False,,,,0.0,0.0,0.0,0.0,False,False,False,False
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",sindy,"{""include_trig"":false,""polynomial_degree"":2,""threshold"":0.01}",1,1,2,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,success,,,"{""feature_names"":[""1"",""x0"",""x0^2""],""coefficients"":[[0.3030325688497961,-0.3607531662893335,0.0]]}","[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",True,True,success,success,0.021793699997942895,0.9999871986622227,0.9999871986622227,0.9999871998843637,0.9999871998843637,True,True,True,True
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",odeformer,"{""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""weights_source"":""google_drive_via_gdown""}",1,1,2,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,error,RuntimeError,ODEFormer is not importable in this environment: No module named 'odeformer',{},[],[],[],False,False,,,,0.0,0.0,0.0,0.0,False,False,False,False
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",sindy,"{""include_trig"":false,""polynomial_degree"":2,""threshold"":0.01}",2,1,1,2,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4536cb1543f6d4039af77e870645d52f3ff6e0b757f0bd98f2cf78d7258188cc,13411f5aa9fe886a381b2f1a81ffdccdc160888eee96023853d23e5a3f63f578,success,,,"{""feature_names"":[""1"",""x0"",""x0^2""],""coefficients"":[[0.0,0.23000075533205722,0.0]]}","[[""x0""]]","[[""x0""]]","[[""x0""]]",True,True,success,success,0.019927999994251877,0.9999391263467189,0.9999391263467188,0.9999391263464953,0.9999391263464954,True,True,True,True
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",odeformer,"{""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""weights_source"":""google_drive_via_gdown""}",2,1,1,2,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4536cb1543f6d4039af77e870645d52f3ff6e0b757f0bd98f2cf78d7258188cc,13411f5aa9fe886a381b2f1a81ffdccdc160888eee96023853d23e5a3f63f578,error,RuntimeError,ODEFormer is not importable in this environment: No module named 'odeformer',{},[],[],[],False,False,,,,0.0,0.0,0.0,0.0,False,False,False,False
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",sindy,"{""include_trig"":false,""polynomial_degree"":2,""threshold"":0.01}",2,1,2,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,13411f5aa9fe886a381b2f1a81ffdccdc160888eee96023853d23e5a3f63f578,4536cb1543f6d4039af77e870645d52f3ff6e0b757f0bd98f2cf78d7258188cc,success,,,"{""feature_names"":[""1"",""x0"",""x0^2""],""coefficients"":[[0.0,0.23000075533230538,0.0]]}","[[""x0""]]","[[""x0""]]","[[""x0""]]",True,True,success,success,0.01939870000933297,0.9999391263465535,0.9999391263465535,0.9999391263467772,0.9999391263467773,True,True,True,True
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",odeformer,"{""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""weights_source"":""google_drive_via_gdown""}",2,1,2,1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,13411f5aa9fe886a381b2f1a81ffdccdc160888eee96023853d23e5a3f63f578,4536cb1543f6d4039af77e870645d52f3ff6e0b757f0bd98f2cf78d7258188cc,error,RuntimeError,ODEFormer is not importable in this environment: No module named 'odeformer',{},[],[],[],False,False,,,,0.0,0.0,0.0,0.0,False,False,False,False
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",sindy,"{""include_trig"":false,""polynomial_degree"":2,""threshold"":0.01}",24,2,1,2,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,7a0cb065a725ce6f96bb42f2513fe021f726e088c0090ed0db0b96fbcf902391,33ed2a81e4f4e66426a0dc51832715f1c58dce189922fbe2014a3b0a2920f08c,success,,,"{""feature_names"":[""1"",""x0"",""x1"",""x0^2"",""x0 x1"",""x1^2""],""coefficients"":[[0.0,0.0,0.9998672701840308,0.0,0.0,0.0],[0.0,-2.099722426540115,0.0,0.0,0.0,0.0]]}","[[""x1""],[""x0""]]","[[""x1""],[""x0""]]","[[""x1""],[""x0""]]",True,True,success,success,0.025056700003915466,0.9833298839104639,0.982958770975913,0.9833242357053472,0.9836436482676238,True,True,True,True
phasec_external_baseline_v1,e1dea4922031d7bcd764dfdc7371b7a893682f61,c9193012ad07a97186290b98d8290d1a177f4609,"{""gdown"":""not_installed"",""numpy"":""2.2.6"",""pandas"":""2.2.2"",""pysindy"":""2.1.0"",""scikit-learn"":""1.5.1"",""scipy"":""1.13.1"",""sympy"":""1.13.1"",""torch"":""2.6.0""}",odeformer,"{""commit"":""c9193012ad07a97186290b98d8290d1a177f4609"",""weights_source"":""google_drive_via_gdown""}",24,2,1,2,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,7a0cb065a725ce6f96bb42f2513fe021f726e088c0090ed0db0b96fbcf902391,33ed2a81e4f4e66426a0dc51832715f1c58dce189922fbe2014a3b0a2920f08c,error,RuntimeError,ODEFormer is not importable in this environment: No module named 'odeformer',{},[],[],[],False,False,,,,0.0,0.0,0.0,0.0,False,False,False,False
