campaign,source_path,source_format,record_index,metric_scope,system_id,dimension,arm,initial_condition_set,r2_arithmetic_mean,r2_variance_weighted,r2_arithmetic_mean_gt_0_9,r2_variance_weighted_gt_0_9,r2_difference_variance_weighted_minus_arithmetic,threshold_flip,threshold_flip_direction,arithmetic_control_abs_error,one_dim_abs_delta,aggregation_source
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,0,reconstruction,1,1,sindy,1,0.9999871986621937,0.9999871986621935,True,True,-1.1102230246251565e-16,False,none,,1.1102230246251565e-16,precomputed_external_baseline_fields
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,0,generalization,1,1,sindy,2,0.9999871945148785,0.9999871945148785,True,True,0.0,False,none,,0.0,precomputed_external_baseline_fields
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,1,reconstruction,1,1,odeformer,1,0.0,0.0,False,False,0.0,False,none,,0.0,precomputed_external_baseline_fields
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,1,generalization,1,1,odeformer,2,0.0,0.0,False,False,0.0,False,none,,0.0,precomputed_external_baseline_fields
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,2,reconstruction,1,1,sindy,2,0.9999871986622227,0.9999871986622227,True,True,0.0,False,none,,0.0,precomputed_external_baseline_fields
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,2,generalization,1,1,sindy,1,0.9999871998843637,0.9999871998843637,True,True,0.0,False,none,,0.0,precomputed_external_baseline_fields
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,3,reconstruction,1,1,odeformer,2,0.0,0.0,False,False,0.0,False,none,,0.0,precomputed_external_baseline_fields
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,3,generalization,1,1,odeformer,1,0.0,0.0,False,False,0.0,False,none,,0.0,precomputed_external_baseline_fields
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,4,reconstruction,2,1,sindy,1,0.9999391263467189,0.9999391263467188,True,True,-1.1102230246251565e-16,False,none,,1.1102230246251565e-16,precomputed_external_baseline_fields
paper1_phaseC_v1,C:\Users\joedicke\Documents\reps\EvoODE\analysis\data\paper1_phaseC_v1\phasec_external_baselines_wp_n19_smoke\records.jsonl,phasec_external_baseline,4,generalization,2,1,sindy,2,0.9999391263464953,0.9999391263464954,True,True,1.1102230246251565e-16,False,none,,1.1102230246251565e-16,precomputed_external_baseline_fields
