library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,source_initial_condition_set,dimension,phasec_representability_threeway,n_target_regressions,n_evaluation_integrations,fit_elapsed_s_context,elapsed_s_evidence_role
poly_deg2_stlsq_0.01,2,False,0.01,1,1,1,exact,1,2,0.029323399998247623,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,1,2,1,exact,1,2,0.005360499999369495,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,2,1,1,exact,1,2,0.005203800001254422,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,2,2,1,exact,1,2,0.004893799999990733,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,3,1,1,exact,1,2,0.004514099999141763,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,3,2,1,exact,1,2,0.005198900000323192,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,4,1,1,surrogate:eq1_not_representable,1,2,0.004273099999409169,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,4,2,1,surrogate:eq1_not_representable,1,2,0.004006499999377411,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,5,1,1,exact,1,2,0.005138499998793122,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,5,2,1,exact,1,2,0.005003100000976701,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,6,1,1,exact,1,2,0.005093600000691367,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,6,2,1,exact,1,2,0.004632500000298023,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,7,1,1,surrogate:eq1_not_representable,1,2,0.015020900000308757,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,7,2,1,surrogate:eq1_not_representable,1,2,0.004879100000835024,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,8,1,1,exact,1,2,0.005322400000295602,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,8,2,1,exact,1,2,0.004678700001022662,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,9,1,1,exact,1,2,0.004524199999650591,context_not_evidence
