library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,system_name,dimension,source_initial_condition_set,target_initial_condition_set,initial_condition_set,direction,regime,fit_status,integration_status,diverged_or_nonfinite,r2,r2_gt_0_9,sindy_structure_hit_raw,sindy_structure_hit_pruned,active_terms_raw,active_terms_pruned,true_terms,n_library_terms,fit_elapsed_s_context,elapsed_s_evidence_role,n_target_regressions,n_evaluation_integrations,reconstruction_control_integration_status,reconstruction_control_max_abs,reconstruction_control_valid,valid_for_analysis,phasec_representability,phasec_representability_threeway,phasec_support_status,phasec_basis_name
poly_deg2_stlsq_0.01,2,False,0.01,1,RC-circuit (charging capacitor),1,1,2,1,IC1_to_IC2,reconstruction,success,success,False,0.9999871986624105,True,True,True,"[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",3,0.029323399998247623,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,1,RC-circuit (charging capacitor),1,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9999871945146649,True,True,True,"[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",3,0.029323399998247623,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,1,RC-circuit (charging capacitor),1,2,1,2,IC2_to_IC1,reconstruction,success,success,False,0.999987198662533,True,True,True,"[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",3,0.005360499999369495,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,1,RC-circuit (charging capacitor),1,2,1,1,IC2_to_IC1,generalization,success,success,False,0.9999871998849165,True,True,True,"[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",3,0.005360499999369495,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,1,2,1,IC1_to_IC2,reconstruction,success,success,False,0.9999391263633033,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.005203800001254422,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9999391263668703,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.005203800001254422,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,2,1,2,IC2_to_IC1,reconstruction,success,success,False,0.9999391263703536,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.004893799999990733,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,2,1,1,IC2_to_IC1,generalization,success,success,False,0.9999391263667866,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.004893799999990733,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,3,Population growth with carrying capacity,1,1,2,1,IC1_to_IC2,reconstruction,success,success,False,0.9999903393504334,True,True,True,"[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]",3,0.004514099999141763,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,3,Population growth with carrying capacity,1,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9999974906520975,True,True,True,"[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]",3,0.004514099999141763,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
