library_id,polynomial_degree,include_sin_cos,stlsq_threshold,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_valid_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,generalization,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,7,0.6363636363636364,0.9999391263668703
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,1,11,7,0.6363636363636364,0.9653096640940542
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,10,3,0.3,3,0.3,1,10,4,0.4,0.5489818370543167
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,5,12,1,0.08333333333333333,0.5397165794397176
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,1,6,1,0.16666666666666666,-0.4675207591520921
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,generalization,3,exact,dimension_by_phasec_representability_threeway,7,0,0.0,0,0.0,1,7,1,0.14285714285714285,-0.7568827274657174
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,generalization,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-371.02535736541296
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,generalization,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-1.8070927730068414e+30
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,generalization,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-5.063759021293582e+17
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,reconstruction,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,8,0.7272727272727273,0.9998711800412748
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,0,11,11,1.0,0.9998351357800669
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,10,3,0.3,3,0.3,0,10,7,0.7,0.9785223592457362
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,1,12,7,0.5833333333333334,0.9838881490403788
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,4,0.6666666666666666,0.9304235708569605
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,reconstruction,3,exact,dimension_by_phasec_representability_threeway,7,0,0.0,0,0.0,0,7,1,0.14285714285714285,-0.8731670055458564
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-6.912021776315934e+23
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-1.3337529259841542e+21
poly_deg2_stlsq_0.01,2,False,0.01,IC1_to_IC2,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-9.793608245235562e+16
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,11,6,0.5454545454545454,6,0.5454545454545454,1,11,7,0.6363636363636364,0.9998716471775835
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,1,11,4,0.36363636363636365,0.6609557448446343
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,9,3,0.3333333333333333,3,0.3333333333333333,0,9,3,0.3333333333333333,0.5571676998491383
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,6,11,3,0.2727272727272727,-2083272009041058.5
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,1,6,0,0.0,0.35696992955133316
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,3,exact,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,1,0.16666666666666666,-2.0475068484120587
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-5747755992696548.0
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-8.465458043030713e+23
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,generalization,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-9.008150404726006e+22
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,11,6,0.5454545454545454,6,0.5454545454545454,0,11,10,0.9090909090909091,0.9999447968068138
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,0,11,11,1.0,0.9998530866260035
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,9,3,0.3333333333333333,3,0.3333333333333333,0,9,5,0.5555555555555556,0.97764030079282
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,2,11,6,0.5454545454545454,0.9915593795307674
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,3,0.5,0.8239896577770738
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,3,exact,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,1,0.16666666666666666,-0.16227994426298215
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9999045459059565
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9999571241602474
poly_deg2_stlsq_0.01,2,False,0.01,IC2_to_IC1,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-1.6861122692344954e+17
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,6,0.5454545454545454,0.9127686233398727
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,2,0.16666666666666666,2,0.16666666666666666,0,12,6,0.5,0.4987442057847361
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,10,5,0.5,5,0.5,1,10,4,0.4,0.2357608607386088
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,3,11,1,0.09090909090909091,-0.21840577229005848
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,1,0.16666666666666666,0.28235031262331006
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,3,exact,dimension_by_phasec_representability_threeway,8,2,0.25,2,0.25,3,8,0,0.0,-9.034585139493347
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-236.1070819022215
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-0.44437078184458567
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,generalization,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-10.322242748912291
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,7,0.6363636363636364,0.9996489307075525
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,2,0.16666666666666666,2,0.16666666666666666,1,12,7,0.5833333333333334,0.9794927313055747
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,10,5,0.5,5,0.5,0,10,6,0.6,0.9785223592457362
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,0,11,8,0.7272727272727273,0.9771974487904111
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,4,0.6666666666666666,0.9209446769547233
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,3,exact,dimension_by_phasec_representability_threeway,8,2,0.25,2,0.25,1,8,0,0.0,-5.414349633742338
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9185104548383002
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-0.1529975210540886
poly_deg2_stlsq_0.1,2,False,0.1,IC1_to_IC2,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9990876898566176
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,6,0.5454545454545454,0.981459463383164
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,1,0.09090909090909091,1,0.09090909090909091,1,11,3,0.2727272727272727,-3.2804068805971056
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,10,4,0.4,4,0.4,1,10,3,0.3,0.4931445476683778
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,4,11,3,0.2727272727272727,-146.23744784529202
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,0,0.0,0.6403323701840938
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,3,exact,dimension_by_phasec_representability_threeway,7,2,0.2857142857142857,2,0.2857142857142857,1,7,0,0.0,-7.860811394495812
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-1.8119281065060096e+20
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-0.15300360012431377
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,generalization,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,0.4141548352214939
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,8,0.7272727272727273,0.9999185196555741
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,1,0.09090909090909091,1,0.09090909090909091,0,11,9,0.8181818181818182,0.9978417415676937
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,10,4,0.4,4,0.4,1,10,5,0.5,0.919900713064425
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,2,11,5,0.45454545454545453,0.8473793918356017
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,0,0.0,0,0.0,0,6,3,0.5,0.7855463597452819
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,3,exact,dimension_by_phasec_representability_threeway,7,2,0.2857142857142857,2,0.2857142857142857,2,7,0,0.0,-7.479376590015277
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9945644830471863
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,0,0.0,-0.4443734110133389
poly_deg2_stlsq_0.1,2,False,0.1,IC2_to_IC1,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9998988454391886
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,1,exact,dimension_by_phasec_representability_threeway,11,4,0.36363636363636365,4,0.36363636363636365,0,11,9,0.8181818181818182,0.9999403330277244
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,1,12,7,0.5833333333333334,0.969214452848548
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,10,1,0.1,1,0.1,3,10,5,0.5,0.4428016148196028
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,5,11,5,0.45454545454545453,-310.75340100105853
