system_id,initial_condition_set,dimension,grid_points,t_start,t_end,rtol,atol,integration_status
1,1,1,512,0.0,10.0,1e-09,1e-09,success
1,2,1,512,0.0,10.0,1e-09,1e-09,success
2,1,1,512,0.0,10.0,1e-09,1e-09,success
2,2,1,512,0.0,10.0,1e-09,1e-09,success
3,1,1,512,0.0,10.0,1e-09,1e-09,success
3,2,1,512,0.0,10.0,1e-09,1e-09,success
4,1,1,512,0.0,10.0,1e-09,1e-09,success
4,2,1,512,0.0,10.0,1e-09,1e-09,success
5,1,1,512,0.0,10.0,1e-09,1e-09,success
5,2,1,512,0.0,10.0,1e-09,1e-09,success
6,1,1,512,0.0,10.0,1e-09,1e-09,success
6,2,1,512,0.0,10.0,1e-09,1e-09,success
7,1,1,512,0.0,10.0,1e-09,1e-09,success
7,2,1,512,0.0,10.0,1e-09,1e-09,success
8,1,1,512,0.0,10.0,1e-09,1e-09,success
8,2,1,512,0.0,10.0,1e-09,1e-09,success
9,1,1,512,0.0,10.0,1e-09,1e-09,success
9,2,1,512,0.0,10.0,1e-09,1e-09,success
10,1,1,512,0.0,10.0,1e-09,1e-09,success
10,2,1,512,0.0,10.0,1e-09,1e-09,success
11,1,1,512,0.0,10.0,1e-09,1e-09,success
11,2,1,512,0.0,10.0,1e-09,1e-09,success
12,1,1,512,0.0,10.0,1e-09,1e-09,success
12,2,1,512,0.0,10.0,1e-09,1e-09,success
13,1,1,512,0.0,10.0,1e-09,1e-09,success
13,2,1,512,0.0,10.0,1e-09,1e-09,success
14,1,1,512,0.0,10.0,1e-09,1e-09,success
14,2,1,512,0.0,10.0,1e-09,1e-09,success
15,1,1,512,0.0,10.0,1e-09,1e-09,success
15,2,1,512,0.0,10.0,1e-09,1e-09,success
16,1,1,512,0.0,10.0,1e-09,1e-09,success
16,2,1,512,0.0,10.0,1e-09,1e-09,success
17,1,1,512,0.0,10.0,1e-09,1e-09,success
17,2,1,512,0.0,10.0,1e-09,1e-09,success
18,1,1,512,0.0,10.0,1e-09,1e-09,success
18,2,1,512,0.0,10.0,1e-09,1e-09,success
19,1,1,512,0.0,10.0,1e-09,1e-09,success
19,2,1,512,0.0,10.0,1e-09,1e-09,success
