library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,source_initial_condition_set,dimension,phasec_representability_threeway,n_target_regressions,n_evaluation_integrations,fit_elapsed_s_context,elapsed_s_evidence_role
poly_deg2_stlsq_0.01,2,False,0.01,1,1,1,exact,1,2,0.0322606000045198,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,1,2,1,exact,1,2,0.009769299998879433,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,2,1,1,exact,1,2,0.011294099997030571,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,2,2,1,exact,1,2,0.007171700002800208,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,3,1,1,exact,1,2,0.014957799998228438,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,3,2,1,exact,1,2,0.006048099996405654,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,4,1,1,surrogate:eq1_not_representable,1,2,0.005994899998768233,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,4,2,1,surrogate:eq1_not_representable,1,2,0.009369500003231224,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,5,1,1,exact,1,2,0.01820199999929173,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,5,2,1,exact,1,2,0.00541009999869857,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,6,1,1,exact,1,2,0.007380099996225908,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,6,2,1,exact,1,2,0.00789019999501761,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,7,1,1,surrogate:eq1_not_representable,1,2,0.010085800000524614,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,7,2,1,surrogate:eq1_not_representable,1,2,0.06959089999872958,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,8,1,1,exact,1,2,0.005323999997926876,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,8,2,1,exact,1,2,0.005036000002291985,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,9,1,1,exact,1,2,0.004857899999478832,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,9,2,1,exact,1,2,0.0045892000052845106,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,10,1,1,surrogate:eq1_not_representable,1,2,0.005131999998411629,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,10,2,1,surrogate:eq1_not_representable,1,2,0.004851999998209067,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,11,1,1,exact,1,2,0.004710499997599982,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,11,2,1,exact,1,2,0.004358300000603776,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,12,1,1,exact,1,2,0.007037299998046365,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,12,2,1,exact,1,2,0.005320299998857081,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,13,1,1,surrogate:eq1_not_representable,1,2,0.00734990000637481,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,13,2,1,surrogate:eq1_not_representable,1,2,0.004802699993888382,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,14,1,1,surrogate:eq1_not_representable,1,2,0.011041800004022662,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,14,2,1,surrogate:eq1_not_representable,1,2,0.004576799998176284,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,15,1,1,surrogate:eq1_not_representable,1,2,0.00540049999835901,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,15,2,1,surrogate:eq1_not_representable,1,2,0.005075699998997152,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,16,1,1,surrogate:eq1_not_representable,1,2,0.004304200003389269,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,16,2,1,surrogate:eq1_not_representable,1,2,0.004567900003166869,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,17,1,1,exact,1,2,0.0047448999976040795,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,17,2,1,exact,1,2,0.004911199997877702,context_not_evidence
