library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,system_name,dimension,source_initial_condition_set,target_initial_condition_set,initial_condition_set,direction,regime,fit_status,integration_status,diverged_or_nonfinite,r2,r2_gt_0_9,sindy_structure_hit_raw,sindy_structure_hit_pruned,active_terms_raw,active_terms_pruned,true_terms,n_library_terms,fit_elapsed_s_context,elapsed_s_evidence_role,n_target_regressions,n_evaluation_integrations,reconstruction_control_integration_status,reconstruction_control_max_abs,reconstruction_control_valid,valid_for_analysis,phasec_representability,phasec_representability_threeway,phasec_support_status,phasec_basis_name
poly_deg2_stlsq_0.01,2,False,0.01,1,RC-circuit (charging capacitor),1,1,2,1,IC1_to_IC2,reconstruction,success,success,False,0.9999871986621937,True,True,True,"[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",3,0.0322606000045198,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,1,RC-circuit (charging capacitor),1,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9999871945148785,True,True,True,"[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",3,0.0322606000045198,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,1,RC-circuit (charging capacitor),1,2,1,2,IC2_to_IC1,reconstruction,success,success,False,0.9999871986622227,True,True,True,"[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",3,0.009769299998879433,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,1,RC-circuit (charging capacitor),1,2,1,1,IC2_to_IC1,generalization,success,success,False,0.9999871998843637,True,True,True,"[[""1"",""x0""]]","[[""1"",""x0""]]","[[""1"",""x0""]]",3,0.009769299998879433,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,1,2,1,IC1_to_IC2,reconstruction,success,success,False,0.9999391263467189,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.011294099997030571,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9999391263464953,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.011294099997030571,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,2,1,2,IC2_to_IC1,reconstruction,success,success,False,0.9999391263465535,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.007171700002800208,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,2,1,1,IC2_to_IC1,generalization,success,success,False,0.9999391263467772,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.007171700002800208,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,3,Population growth with carrying capacity,1,1,2,1,IC1_to_IC2,reconstruction,success,success,False,0.9999903393498715,True,True,True,"[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]",3,0.014957799998228438,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,3,Population growth with carrying capacity,1,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9999974906522026,True,True,True,"[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]",3,0.014957799998228438,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,3,Population growth with carrying capacity,1,2,1,2,IC2_to_IC1,reconstruction,success,success,False,0.9999974947518445,True,True,True,"[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]",3,0.006048099996405654,context_not_evidence,1,2,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,3,Population growth with carrying capacity,1,2,1,1,IC2_to_IC1,generalization,success,success,False,0.9999903264483245,True,True,True,"[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]","[[""x0"",""x0^2""]]",3,0.006048099996405654,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,4,RC-circuit with non-linear resistor (charging capacitor),1,1,2,1,IC1_to_IC2,reconstruction,success,success,False,0.9999826905537643,True,False,False,"[[""1"",""x0"",""x0^2""]]","[[""1"",""x0"",""x0^2""]]",[[]],3,0.005994899998768233,context_not_evidence,1,2,success,0.0,True,True,surrogate,surrogate:eq1_not_representable,eq1_not_representable,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,4,RC-circuit with non-linear resistor (charging capacitor),1,1,2,2,IC1_to_IC2,generalization,success,diverged,True,-2962418759220820.0,False,False,False,"[[""1"",""x0"",""x0^2""]]","[[""1"",""x0"",""x0^2""]]",[[]],3,0.005994899998768233,context_not_evidence,1,1,success,0.0,True,True,surrogate,surrogate:eq1_not_representable,eq1_not_representable,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,4,RC-circuit with non-linear resistor (charging capacitor),1,2,1,2,IC2_to_IC1,reconstruction,success,success,False,0.9999848306868115,True,False,False,"[[""1"",""x0"",""x0^2""]]","[[""1"",""x0"",""x0^2""]]",[[]],3,0.009369500003231224,context_not_evidence,1,2,success,0.0,True,True,surrogate,surrogate:eq1_not_representable,eq1_not_representable,staged_polynomial_basis_with_constant
poly_deg2_stlsq_0.01,2,False,0.01,4,RC-circuit with non-linear resistor (charging capacitor),1,2,1,1,IC2_to_IC1,generalization,success,success,False,-7.37491915825175,False,False,False,"[[""1"",""x0"",""x0^2""]]","[[""1"",""x0"",""x0^2""]]",[[]],3,0.009369500003231224,context_not_evidence,1,1,success,0.0,True,True,surrogate,surrogate:eq1_not_representable,eq1_not_representable,staged_polynomial_basis_with_constant
