system_id,initial_condition_set,dimension,grid_points,t_start,t_end,truth_trajectory_source,hash_format,time_sha256,state_sha256,hash_verified
1,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8,True
1,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470,True
2,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4536cb1543f6d4039af77e870645d52f3ff6e0b757f0bd98f2cf78d7258188cc,True
2,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,13411f5aa9fe886a381b2f1a81ffdccdc160888eee96023853d23e5a3f63f578,True
3,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,185351f6341f86f0048146a9d58072c60cd55320915d8fdba0e7054c865c689c,True
3,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0f67c12b2a959a9ddb6de5989bda10e30f86bff744e4336113614e8d81173dba,True
4,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c3bc8c01f9ac6442e048ba327907a4ac102a044ef6ac98ca6841fc3dac22c23d,True
4,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,79ce12b52d48840bfe578d809ee4cddbcae11eccdbdd9b570dfdf9dd317ccdb5,True
5,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,1c76ef00643f647efef6756b408dacb403d25aa8b579a042e3a79f13ce0746d1,True
5,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,8f9595e852b62dc8b253e409bb4eacea142f89d621865c03e279ae525a183bf6,True
6,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,ad98ecf9e889528a03227e4c7ff51c98627117c4600d7ecc478e829b576fd33c,True
6,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4286f6d1704d7f0f7fbaaf99923ce92cfa33be596ce5afd13e1be3b904d47bb7,True
