system_id,initial_condition_set,dimension,hash_format,time_axis_order,state_axis_order,time_shape,state_shape,time_min,time_max,state_min,state_max,time_sha256,state_sha256
1,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.0884142834867072,10.0,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0ee16225ff89698a75ca1dd4d2560af9956e8ab3b3b0058633eb0205457986e8
1,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.9132225508334256,3.54,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,6906ca0a07a887c83ae9cc220226eb21a137b4de61d699f78de1a2ac458d7470
2,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,4.78,47.67659213530342,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4536cb1543f6d4039af77e870645d52f3ff6e0b757f0bd98f2cf78d7258188cc
2,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.87,8.67753873598339,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,13411f5aa9fe886a381b2f1a81ffdccdc160888eee96023853d23e5a3f63f578
3,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,7.3,74.04803566025623,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,185351f6341f86f0048146a9d58072c60cd55320915d8fdba0e7054c865c689c
3,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,21.0,74.23015073225298,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0f67c12b2a959a9ddb6de5989bda10e30f86bff744e4336113614e8d81173dba
4,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.8,3.467015301397046,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c3bc8c01f9ac6442e048ba327907a4ac102a044ef6ac98ca6841fc3dac22c23d
4,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,-3.1691624294354175,0.02,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,79ce12b52d48840bfe578d809ee4cddbcae11eccdbdd9b570dfdf9dd317ccdb5
5,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.5,60.946577111693934,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,1c76ef00643f647efef6756b408dacb403d25aa8b579a042e3a79f13ce0746d1
5,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,68.33202063773236,73.0,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,8f9595e852b62dc8b253e409bb4eacea142f89d621865c03e279ae525a183bf6
6,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.13,4.19999990024935,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,ad98ecf9e889528a03227e4c7ff51c98627117c4600d7ecc478e829b576fd33c
6,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,2.24,4.199999997182731,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4286f6d1704d7f0f7fbaaf99923ce92cfa33be596ce5afd13e1be3b904d47bb7
7,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.73,2.9075276187057773,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,5346234c0485db3d1ef11289464a0bc97a2ae7ebb3b13c742ddcda333b9a81c6
7,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,9.5,30.34969099585768,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,37382ca27f1ff42237cab6a629eaab2a8b53a3fe6fee3e97360c6a863b61e7a8
8,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,6.123,93.06565049146899,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,2b69ca839bdb926ba833c061f64217c625040c43315417053cca3d235f10e059
8,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.8186702912373286,2.1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,2d5286c6c4748e3515190d92b577c3ca122911f4582b87a26000f636501df908
9,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.14,0.5323583574490287,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,b683606907329b3b664416a4d0fbcb360d9b55a73cdbfcb25fbf3c7a8af878f2
9,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.533374645897023,0.55,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,db3a2be1a9808f2dec4c6c5b77ff7c59495a14114e8f0320802d562f44b2c2ea
10,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.016774728142985876,0.83,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,295dc6d49956abaca2213ad14e2f1010b32bf98763aa7f7cd8ef8cb3d01810df
10,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.0005030882983889511,0.34,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,f3238d1f17a0fadb2d5824589d3d43984919cfd5c279f163882c886607c122d0
11,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.223124782335635,3.4,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,cdc13858122785454f6151a9501ad6371cdf981cbe371f76125ca52d6fd250b4
11,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.22145461316095374,1.6,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0e152754f68b3dc29b226238769ff02dfeb4845df1be84ebd6b0999f881db5df
12,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,11.0,16.26016248308837,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,9464d56b1a1aeda4204bd5f831a8f5436b1541a2ae4ed255433d7b2423623841
12,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.3,16.260159751604196,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,23ec22839f2f22bf501bc68829d7fa906ef2a708445ba2545da9114f83909c17
13,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.4689547249745343,3.1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,dce17ae6c1baa2eaff49baaaaaed95f78e343c40eb9ec9007866d782f2ad7b2c
13,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.4676111069817224,2.4,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,b22329e190aabb06fad4b3f76636c06a8b5495175e6b904d872bb06791552e26
14,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,2.76,78.80676640269743,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,3111835c8af4269efecee8bc23e36b02d152adf0c2fe94b243b87ab46b7c31a4
14,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,23.3,79.80913559552653,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c4f18da0d949ea205a8e871f2a8cf7ff11e8fbf01f7e9133549201108d1ea6a8
15,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,44.3,90.13435931251757,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,44377149fd0e068b0febbcf4a2ad331eeba249710e2672f98c94c3d7d4fc2f75
15,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,4.5,47.4526323218893,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,5e2e24d5df10731defc886e69c90ef19ea7694caf456523e5e59b862ceb73354
16,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.94,6.508480550315107,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,6e5154b224b6bb2ef9e7fcc692f44210c6c50b4df2f205e45f97589a650a2da0
16,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.65,6.508508260274588,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,8f779de3376578c0176392b2400c97697c1e66aca7d8684b11f5951d7466e7b9
17,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,14.3,88.53307559334867,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4756e9cb1aad3ac5698d8e2380b106c5d6c6e7fdcf482d06e53c8d5c19d6d4f0
17,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,34.2,95.65324847176127,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4ce0eea86a7d476d182bfbfc499fa992cd72e05a8c7952b7ee4aca56d8f1103b
18,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,21.1,93.05867588289644,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c3bb30ba39bf3e305584b0d1aea07b2b4002b103e73883281a6fa0b3c22f4b71
18,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,44.1,97.29139770708429,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4d70a813ea95765d2669fb59f522d82cd17df5800f110eb109c1794d1d8d1f6f
19,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.13,0.9538202177600512,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,84347a8796790bb80039e0838a87268da011f7172cff6471f4ae3bfeda4274e5
19,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.03,0.9514612031720459,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,951b57a6c3b96910e3f9e3615e90014f9818caf070c95bd555fc632e894389ab
20,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.002,0.3243489415689447,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,e18be7de813fa51f25aba6cc67ba20d399b5b66645395338c50e29ede1bb2258
20,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.25,0.42798485759650234,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,942ea5b4da8424e7167b3920019cc10f997088dac67bb6f76e7121696668c1cc
21,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.0,4.731207142843358,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,db970a19cdb2e76437eeb7d63c1175656e29079f1ad610b01faf253a15d685c5
21,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.8,5.140641382075955,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,9b0821504f0cb433398fe2b78c754bdbec83d14d689a9630b50d5faa1fbbd561
22,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.6098914336946568,3.1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,bc80e9b8dc6f30e112d5647bdb823fb9166141d489fc6f2eba8d8d90ddb74c21
22,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.6112766776013971,6.3,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,820377ffd358d7b07e0078077fed5280676ae9da4b6d281ae93254d26c176012
