library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,system_name,dimension,source_initial_condition_set,target_initial_condition_set,initial_condition_set,direction,regime,fit_status,integration_status,diverged_or_nonfinite,r2,r2_gt_0_9,sindy_structure_hit_raw,sindy_structure_hit_pruned,active_terms_raw,active_terms_pruned,true_terms,n_library_terms,fit_elapsed_s_context,elapsed_s_evidence_role,n_target_regressions,n_evaluation_integrations,reconstruction_control_integration_status,reconstruction_control_max_abs,reconstruction_control_valid,valid_for_analysis,phasec_representability,phasec_representability_threeway,phasec_support_status,phasec_basis_name,evogrow_seed_policy,evogrow_seed_count,evogrow_seeds,evogrow_structure_hit_raw_rate,evogrow_structure_hit_pruned_rate,evogrow_r2_gt_0_9_rate,evogrow_r2_mean,git_hash,config_fingerprint,stage_cap_behavior_fingerprint
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9999391263668704,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.0052038000012544,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,1.0,1.0,1.0,0.999999999999986,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
poly_deg2_stlsq_0.01,2,False,0.01,2,Population growth (naive),1,2,1,1,IC2_to_IC1,generalization,success,success,False,0.9999391263667866,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.0048937999999907,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,1.0,1.0,1.0,0.9999999999999862,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
poly_deg2_stlsq_0.01,2,False,0.01,24,Harmonic oscillator without damping,2,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9833242356454956,True,True,True,"[[""x1""],[""x0""]]","[[""x1""],[""x0""]]","[[""x1""],[""x0""]]",6,0.0068876999994245,context_not_evidence,2,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,0.0,1.0,1.0,0.9999999999994886,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
poly_deg2_stlsq_0.01,2,False,0.01,24,Harmonic oscillator without damping,2,2,1,1,IC2_to_IC1,generalization,success,success,False,0.983329949156164,True,True,True,"[[""x1""],[""x0""]]","[[""x1""],[""x0""]]","[[""x1""],[""x0""]]",6,0.0063432000006287,context_not_evidence,2,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,0.0,1.0,1.0,0.999999999999789,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
poly_deg2_stlsq_0.01,2,False,0.01,52,Maxwell-Bloch equations (laser dynamics),3,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9999128810453396,True,False,False,"[[""x0"",""x1""],[""x0*x2"",""x1""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0^2"",""x1"",""x1^2"",""x2""]]","[[""x0"",""x1""],[""x0*x2"",""x1""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0^2"",""x1"",""x1^2"",""x2""]]","[[""x0"",""x1""],[""x0*x2"",""x1""],[""1"",""x0*x1"",""x2""]]",10,0.0120109999988926,context_not_evidence,3,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,0.0,0.0,0.0,0.5726793383947749,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
poly_deg2_stlsq_0.01,2,False,0.01,52,Maxwell-Bloch equations (laser dynamics),3,2,1,1,IC2_to_IC1,generalization,success,success,False,0.9922948043046964,True,False,False,"[[""x0"",""x1""],[""1"",""x0"",""x0*x2"",""x0^2"",""x1"",""x1^2"",""x2"",""x2^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0^2"",""x1"",""x1^2"",""x2"",""x2^2""]]","[[""x0"",""x1""],[""1"",""x0"",""x0*x2"",""x0^2"",""x1"",""x1^2"",""x2"",""x2^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0^2"",""x1"",""x1^2"",""x2"",""x2^2""]]","[[""x0"",""x1""],[""x0*x2"",""x1""],[""1"",""x0*x1"",""x2""]]",10,0.010397500000181,context_not_evidence,3,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,0.0,0.0,1.0,0.9752764322277323,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
poly_deg2_stlsq_0.01,2,False,0.01,63,SEIR infection model (proportions),4,1,2,2,IC1_to_IC2,generalization,success,diverged,True,-1.807092773006841e+30,False,False,False,"[[""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x3"",""x1^2"",""x2"",""x2*x3"",""x2^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2^2"",""x3"",""x3^2""],[""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2^2"",""x3"",""x3^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x2"",""x1^2"",""x2"",""x2^2"",""x3"",""x3^2""]]","[[""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x3"",""x1^2"",""x2"",""x2*x3"",""x2^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2^2"",""x3"",""x3^2""],[""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2^2"",""x3"",""x3^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x2"",""x1^2"",""x2"",""x2^2"",""x3"",""x3^2""]]","[[""x0*x2""],[""x0*x2"",""x1""],[""x1"",""x2""],[""x2""]]",15,0.017472399998951,context_not_evidence,4,1,diverged,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,0.0,0.0,0.0,0.8957450961617202,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
poly_deg2_stlsq_0.01,2,False,0.01,63,SEIR infection model (proportions),4,2,1,1,IC2_to_IC1,generalization,success,diverged,True,-8.465458043030713e+23,False,False,False,"[[""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x2"",""x3"",""x3^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2*x3"",""x2^2"",""x3"",""x3^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2*x3"",""x2^2"",""x3"",""x3^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0^2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2^2"",""x3"",""x3^2""]]","[[""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x2"",""x3"",""x3^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0*x3"",""x0^2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2*x3"",""x2^2"",""x3"",""x3^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2*x3"",""x2^2"",""x3"",""x3^2""],[""1"",""x0"",""x0*x1"",""x0*x2"",""x0^2"",""x1"",""x1*x2"",""x1*x3"",""x1^2"",""x2"",""x2^2"",""x3"",""x3^2""]]","[[""x0*x2""],[""x0*x2"",""x1""],[""x1"",""x2""],[""x2""]]",15,0.0148380999999062,context_not_evidence,4,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,0.0,0.0,0.0,0.4688865646555332,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
poly_deg2_stlsq_0.1,2,False,0.1,2,Population growth (naive),1,1,2,2,IC1_to_IC2,generalization,success,success,False,0.9999391263668704,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.0058171999990008,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,1.0,1.0,1.0,0.999999999999986,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
poly_deg2_stlsq_0.1,2,False,0.1,2,Population growth (naive),1,2,1,1,IC2_to_IC1,generalization,success,success,False,0.9999391263667866,True,True,True,"[[""x0""]]","[[""x0""]]","[[""x0""]]",3,0.0046416999994107,context_not_evidence,1,1,success,0.0,True,True,exact,exact,ok,staged_polynomial_basis_with_constant,mean_rate_over_available_phasec_seeds,1,42,1.0,1.0,1.0,0.9999999999999862,221a3a7,0c9672de35c75a9d,ffb0266c7913352c
