manifest_index,system_id,system_name,seed,initial_condition_set,variant,basis_name,representability,wp_n1_support_status,raw_support_match,pruned_support_match,support_equality_definition,raw_implies_pruned_violation,r2,r2_gt_0_9,loss,final_stage,eq_final_stages,total_parameter_fits,total_loss_evals,total_ode_solves,elapsed_s,elapsed_s_evidence_role,git_hash,config_fingerprint,stage_cap_behavior_fingerprint,incomplete_allowed,expected_manifest_records,observed_manifest_records,missing_manifest_indices,dim,classification_description,decision_layer
1,24,Harmonic oscillator without damping,7,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999998508,True,1.7056725203217317e-14,1,"[1,1]",30,75207,75207,23.228331843,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator without damping,A_paired_both_exact
2,24,Harmonic oscillator without damping,42,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,True,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999998814,True,1.7224697315148986e-14,1,"[1,1]",30,52956,52956,19.872612406,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator without damping,A_paired_both_exact
3,24,Harmonic oscillator without damping,123,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999998437,True,1.9994026147761678e-14,1,"[1,1]",30,46506,46506,18.239022167,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator without damping,A_paired_both_exact
4,24,Harmonic oscillator without damping,7,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999996438,True,4.706390516878191e-15,1,"[1,1]",30,30451,30451,15.273606267,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator without damping,A_paired_both_exact
5,24,Harmonic oscillator without damping,42,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999994937,True,5.919424397286578e-15,1,"[1,1]",30,11015,11015,11.920086629,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator without damping,A_paired_both_exact
6,24,Harmonic oscillator without damping,123,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999994927,True,6.089085306652976e-15,1,"[1,1]",30,10086,10086,11.774359024,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator without damping,A_paired_both_exact
7,25,Harmonic oscillator with damping,7,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,True,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999984118,True,7.469846337255516e-15,1,"[1,1]",50,215905,215905,42.357520784,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator with damping,A_paired_both_exact
8,25,Harmonic oscillator with damping,42,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,True,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999984172,True,7.346394004818119e-15,1,"[1,1]",30,166843,166843,31.292714256,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator with damping,A_paired_both_exact
9,25,Harmonic oscillator with damping,123,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,True,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999983695,True,7.859386217156575e-15,1,"[1,1]",30,223333,223333,44.868190133,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator with damping,A_paired_both_exact
10,25,Harmonic oscillator with damping,7,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,True,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999984407,True,9.471950580784262e-15,1,"[1,1]",30,11293,11293,12.453189175,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Harmonic oscillator with damping,A_paired_both_exact
