row_type,decision_layer,variant,representability,system_id,n_systems,effective_sample_size_systems,n_cells,raw_support_hits,raw_support_denominator,raw_support_rate,pruned_support_hits,pruned_support_denominator,pruned_support_rate,r2_gt_0_9_hits,r2_gt_0_9_rate,support_equality_definition,raw_implies_pruned_violations_total,incomplete_allowed,expected_manifest_records,observed_manifest_records,missing_manifest_indices,systems,elapsed_s_evidence_role,total_parameter_fits_q000,total_parameter_fits_q025,total_parameter_fits_q050,total_parameter_fits_q075,total_parameter_fits_q100,total_loss_evals_q000,total_loss_evals_q025,total_loss_evals_q050,total_loss_evals_q075,total_loss_evals_q100,elapsed_s_q000,elapsed_s_q025,elapsed_s_q050,elapsed_s_q075,elapsed_s_q100,contingency_cell,paired_cell_count,paired_cell_denominator
layer_summary,A_paired_both_exact,wp_n1_constant_basis,,,9,9.0,54,4,54,0.07407407407407407,19,54,0.35185185185185186,51,0.9444444444444444,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,24|25|26|27|28|29|31|32|38,non_evidence,30.0,275.0,370.0,410.0,610.0,50135.0,557337.0,1300226.0,2406037.75,6715902.0,17.043243399,1368.9171926455,6556.8250937935,15675.427380219999,75085.568614944,,,
layer_summary,A_paired_both_exact,wp_n1_old_basis,,,9,9.0,54,7,54,0.12962962962962962,30,54,0.5555555555555556,51,0.9444444444444444,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,24|25|26|27|28|29|31|32|38,non_evidence,30.0,230.0,330.0,410.0,610.0,8501.0,361725.75,808505.5,1505518.75,4795677.0,11.774359024,872.65128893475,2753.2510550375,7898.5879607037505,68616.595033887,,,
layer_summary,B_constant_only_exact,wp_n1_constant_basis,,,1,,6,0,6,0.0,3,6,0.5,6,1.0,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,43,non_evidence,410.0,430.0,460.0,505.0,510.0,1808096.0,2194812.75,2838366.5,3363862.0,3496953.0,55687.122535799,56811.205536092246,62159.6412678665,70898.208814624,82761.478403097,,,
literature_r2_summary,C_literature_all_cells,wp_n1_constant_basis,exact,,10,,60,4,60,0.06666666666666667,22,60,0.36666666666666664,57,0.95,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,24|25|26|27|28|29|31|32|38|43,non_evidence,30.0,305.0,390.0,430.0,610.0,50135.0,618861.75,1548393.5,2440258.0,6715902.0,17.043243399,2153.3103229367503,8610.7193716545,21549.497173062,82761.478403097,,,
literature_r2_summary,C_literature_all_cells,wp_n1_constant_basis,surrogate,,18,,108,0,0,,0,0,,97,0.8981481481481481,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,30|33|34|35|36|37|39|40|41|42|44|45|46|47|48|49|50|51,non_evidence,410.0,430.0,490.0,590.0,610.0,202924.0,1242686.25,2310637.5,4052804.25,8857794.0,56.026601119,5361.125746584999,11843.0247097145,38166.792455502,251648.561305175,,,
literature_r2_summary,C_literature_all_cells,wp_n1_old_basis,exact,,9,,54,7,54,0.12962962962962962,30,54,0.5555555555555556,51,0.9444444444444444,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,24|25|26|27|28|29|31|32|38,non_evidence,30.0,230.0,330.0,410.0,610.0,8501.0,361725.75,808505.5,1505518.75,4795677.0,11.774359024,872.65128893475,2753.2510550375,7898.5879607037505,68616.595033887,,,
literature_r2_summary,C_literature_all_cells,wp_n1_old_basis,surrogate,,19,,114,0,0,,0,0,,105,0.9210526315789473,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,30|33|34|35|36|37|39|40|41|42|43|44|45|46|47|48|49|50|51,non_evidence,330.0,430.0,490.0,570.0,610.0,190195.0,1050004.5,2209138.0,3122312.25,8577451.0,118.853811459,5438.0836007567505,11971.248968149,29249.88685620775,178451.886037139,,,
layer_a_raw_contingency,A_paired_both_exact,,,,0,0.0,0,0,0,,0,0,,0,,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,,non_evidence,,,,,,,,,,,,,,,,both,2.0,54.0
layer_a_raw_contingency,A_paired_both_exact,,,,0,0.0,0,0,0,,0,0,,0,,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,,non_evidence,,,,,,,,,,,,,,,,old_only,5.0,54.0
layer_a_raw_contingency,A_paired_both_exact,,,,0,0.0,0,0,0,,0,0,,0,,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,,non_evidence,,,,,,,,,,,,,,,,constant_only,2.0,54.0
layer_a_raw_contingency,A_paired_both_exact,,,,0,0.0,0,0,0,,0,0,,0,,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,,non_evidence,,,,,,,,,,,,,,,,neither,45.0,54.0
layer_a_by_system,A_paired_both_exact,wp_n1_constant_basis,,24.0,1,1.0,6,1,6,0.16666666666666666,6,6,1.0,6,1.0,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,24,non_evidence,30.0,30.0,30.0,30.0,50.0,56427.0,72793.5,82311.0,87198.75,95179.0,18.138976615,19.9448757965,21.191041722999998,22.81377938775,26.926229113,,,
layer_a_by_system,A_paired_both_exact,wp_n1_old_basis,,24.0,1,1.0,6,1,6,0.16666666666666666,6,6,1.0,6,1.0,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,24,non_evidence,30.0,30.0,30.0,30.0,30.0,10086.0,15874.0,38478.5,51343.5,75207.0,11.774359024,12.7584665385,16.756314217,19.464214846249998,23.228331843,,,
layer_a_by_system,A_paired_both_exact,wp_n1_constant_basis,,25.0,1,1.0,6,2,6,0.3333333333333333,4,6,0.6666666666666666,6,1.0,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,25,non_evidence,30.0,35.0,60.0,325.0,410.0,50135.0,86614.25,171102.0,470425.0,2555626.0,17.043243399,23.363385531749998,37.7584675035,5557.276659854249,11761.479606646,,,
layer_a_by_system,A_paired_both_exact,wp_n1_old_basis,,25.0,1,1.0,6,6,6,1.0,6,6,1.0,6,1.0,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,25,non_evidence,30.0,30.0,30.0,30.0,50.0,8501.0,10165.75,89068.0,203639.5,223333.0,11.953202456,12.141605476,21.8729517155,39.591319152000004,44.868190133,,,
layer_a_by_system,A_paired_both_exact,wp_n1_constant_basis,,26.0,1,1.0,6,0,6,0.0,0,6,0.0,6,1.0,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,26,non_evidence,310.0,350.0,360.0,370.0,410.0,777148.0,847460.25,960527.0,1179833.5,1601246.0,1963.772913937,3818.62096936375,4371.200233461001,4750.631353961,5549.013319681,,,
layer_a_by_system,A_paired_both_exact,wp_n1_old_basis,,26.0,1,1.0,6,0,6,0.0,0,6,0.0,6,1.0,normalized term-name set equality per equation index; equation order is preserved,0,False,336,336,,26,non_evidence,290.0,295.0,320.0,330.0,350.0,457602.0,480105.75,656786.5,838142.0,977302.0,642.125772104,953.0283030192501,1247.5873292775,1477.13407053025,1689.006524584,,,
