signal,ranking_method,sigma_rel,noise_replicate,ic_strategy,dimension,n_equations,q010,q025,q050,q075,q090,le_0_count,le_0_rate,le_1_count,le_1_rate,le_2_count,le_2_rate,le_3_count,le_3_rate,le_5_count,le_5_rate,le_10_count,le_10_rate,analytic_null_mean,empirical_null_mean,max_empirical_analytic_abs_deviation,cluster_robust_p,cluster_count,permutation_unit,random_permutations_per_equation
fd,forward,0.0,0,ic1,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0,2.5606060606060606,2.548790909090909,0.021300000000000097,0.24011713030746706,11,system_id,10000
fd,forward,0.0,0,ic1,2,20,0.0,0.0,0.0,0.75,7.100000000000001,15,0.75,15,0.75,15,0.75,17,0.85,17,0.85,20,1.0,6.104166666666667,6.095675,0.05850000000000044,0.001951219512195122,10,system_id,10000
fd,forward,0.0,0,ic1,3,24,0.0,0.0,0.0,8.25,16.0,14,0.5833333333333334,15,0.625,16,0.6666666666666666,17,0.7083333333333334,17,0.7083333333333334,20,0.8333333333333334,11.527777777777779,11.570925000000003,0.06346666666666678,0.007782101167315175,8,system_id,10000
fd,forward,0.0,0,ic1,4,4,0.0,0.0,7.0,14.75,16.1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,14.833333333333334,14.8427,0.042500000000000426,0.6666666666666666,1,system_id,10000
fd,forward,0.0,0,ic1_ic2,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0,2.5606060606060606,2.548790909090909,0.021300000000000097,0.24011713030746706,11,system_id,10000
fd,forward,0.0,0,ic1_ic2,2,20,0.0,0.0,0.0,1.5,7.100000000000001,14,0.7,15,0.75,15,0.75,16,0.8,17,0.85,20,1.0,6.104166666666667,6.095675,0.05850000000000044,0.001951219512195122,10,system_id,10000
fd,forward,0.0,0,ic1_ic2,3,24,0.0,0.0,0.0,1.0,16.0,17,0.7083333333333334,19,0.7916666666666666,19,0.7916666666666666,20,0.8333333333333334,20,0.8333333333333334,20,0.8333333333333334,11.527777777777779,11.570925000000003,0.06346666666666678,0.007782101167315175,8,system_id,10000
fd,forward,0.0,0,ic1_ic2,4,4,0.0,0.0,3.0,8.5,13.000000000000002,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,3,0.75,14.833333333333334,14.8427,0.042500000000000426,0.6666666666666666,1,system_id,10000
fd,forward,0.0,0,ic2,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0,2.5606060606060606,2.548790909090909,0.021300000000000097,0.24011713030746706,11,system_id,10000
fd,forward,0.0,0,ic2,2,20,0.0,0.0,0.0,1.0,3.500000000000007,12,0.6,16,0.8,17,0.85,18,0.9,18,0.9,20,1.0,6.104166666666667,6.095675,0.05850000000000044,0.001951219512195122,10,system_id,10000
