system_id,dimension,signal,sigma_rel,noise_replicate,source_initial_condition_set,n_library_terms,n_target_regressions,n_path_least_squares,n_evaluation_integrations,n_selection_integrations
1,1,weak,0.0,0,1,6,1,6,16,0
1,1,weak,0.0,0,2,6,1,6,16,0
1,1,weak,0.01,1,1,6,1,6,4,0
1,1,weak,0.01,1,2,6,1,6,4,0
1,1,weak,0.01,2,1,6,1,6,4,0
1,1,weak,0.01,2,2,6,1,6,4,0
1,1,weak,0.01,3,1,6,1,6,4,0
1,1,weak,0.01,3,2,6,1,6,4,0
1,1,weak,0.01,4,1,6,1,6,4,0
1,1,weak,0.01,4,2,6,1,6,4,0
1,1,weak,0.01,5,1,6,1,6,4,0
1,1,weak,0.01,5,2,6,1,6,4,0
1,1,weak,0.05,1,1,6,1,6,4,0
1,1,weak,0.05,1,2,6,1,6,4,0
1,1,weak,0.05,2,1,6,1,6,4,0
1,1,weak,0.05,2,2,6,1,6,4,0
1,1,weak,0.05,3,1,6,1,6,4,0
1,1,weak,0.05,3,2,6,1,6,4,0
1,1,weak,0.05,4,1,6,1,6,4,0
1,1,weak,0.05,4,2,6,1,6,4,0
1,1,weak,0.05,5,1,6,1,6,4,0
1,1,weak,0.05,5,2,6,1,6,4,0
1,1,fd,0.0,0,1,6,1,6,16,0
1,1,fd,0.0,0,2,6,1,6,16,0
1,1,fd,0.01,1,1,6,1,6,4,0
1,1,fd,0.01,1,2,6,1,6,4,0
1,1,fd,0.01,2,1,6,1,6,4,0
1,1,fd,0.01,2,2,6,1,6,4,0
1,1,fd,0.01,3,1,6,1,6,4,0
1,1,fd,0.01,3,2,6,1,6,4,0
1,1,fd,0.01,4,1,6,1,6,4,0
1,1,fd,0.01,4,2,6,1,6,4,0
1,1,fd,0.01,5,1,6,1,6,4,0
1,1,fd,0.01,5,2,6,1,6,4,0
1,1,fd,0.05,1,1,6,1,6,4,0
1,1,fd,0.05,1,2,6,1,6,4,0
1,1,fd,0.05,2,1,6,1,6,4,0
1,1,fd,0.05,2,2,6,1,6,4,0
1,1,fd,0.05,3,1,6,1,6,4,0
1,1,fd,0.05,3,2,6,1,6,4,0
1,1,fd,0.05,4,1,6,1,6,4,0
