signal,operating_point,selected_k,sigma_rel,noise_replicate,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_denominator_exact_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_finite_nondiverged_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid,r2_q000_finite_nondiverged,r2_q025_finite_nondiverged,r2_q075_finite_nondiverged,r2_q100_finite_nondiverged
fd,bic,1,0.0,0,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,1,1,1,1.0,1,1.0,0,1,1,1.0,0.9833242357053473,0.9833242357053473,0.9833242357053473,0.9833242357053473,0.9833242357053473
fd,bic,1,0.0,0,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,1,1,1,1.0,1,1.0,0,1,1,1.0,0.9833298839104636,0.9833298839104636,0.9833298839104636,0.9833298839104636,0.9833298839104636
fd,bic,1,0.0,0,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,1,1,1,1.0,1,1.0,0,1,1,1.0,0.9833299491765441,0.9833299491765441,0.9833299491765441,0.9833299491765441,0.9833299491765441
fd,bic,1,0.0,0,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,1,1,1,1.0,1,1.0,0,1,1,1.0,0.9833241703189263,0.9833241703189263,0.9833241703189263,0.9833241703189263,0.9833241703189263
fd,bic,1,0.01,1,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.9881293804803939,0.9815959949771909,0.9848626877287924,0.9913960732319954,0.9946627659835969
fd,bic,1,0.01,1,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.9849932072917409,0.9821683154061331,0.983580761348937,0.9864056532345447,0.9878180991773485
fd,bic,1,0.01,1,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,1,1,1,1.0,1,1.0,0,1,1,1.0,0.9950880342450745,0.9950880342450745,0.9950880342450745,0.9950880342450745,0.9950880342450745
fd,bic,1,0.01,1,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,0,0.0,-1.219215114793704,-1.219215114793704,-1.219215114793704,-1.219215114793704,-1.219215114793704
fd,bic,1,0.01,1,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,2,1.0,0.9840881491733455,0.9756527224526844,0.9798704358130149,0.988305862533676,0.9925235758940065
fd,bic,1,0.01,1,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,0,0.0,-1.2094120808399906,-1.2094120808399906,-1.2094120808399906,-1.2094120808399906,-1.2094120808399906
