aggregation_level,condition,initial_condition_set,system_dim,system_id,system_name,n_cells,support_match_count,support_match_rate,share_system_rate_ge_0_0,share_system_rate_ge_0_333333,share_system_rate_ge_0_666667,share_system_rate_ge_1_0
system,pretune_off,1,1,2,Population growth (naive),3,3,1,,,,
system,pretune_off,1,1,3,Population growth with carrying capacity,3,3,1,,,,
system,pretune_off,1,1,6,Autocatalysis with one fixed abundant chemical,3,3,1,,,,
system,pretune_off,1,1,8,Logistic equation with Allee effect,3,3,1,,,,
system,pretune_off,1,1,11,Naive critical slowing down (statistical mechanics),3,3,1,,,,
system,pretune_off,1,1,12,Photons in a laser (simple),3,3,1,,,,
system,pretune_off,1,2,24,Harmonic oscillator without damping,3,3,1,,,,
system,pretune_off,1,2,25,Harmonic oscillator with damping,3,3,1,,,,
system,pretune_off,1,2,26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),3,0,0,,,,
system,pretune_off,1,2,27,Lotka-Volterra simple (as on Wikipedia),3,0,0,,,,
system,pretune_off,1,2,28,Pendulum without friction,3,0,0,,,,
system,pretune_off,1,2,29,Dipole fixed point,3,3,1,,,,
system,pretune_off,1,2,31,SIR infection model only for healthy and sick,3,0,0,,,,
system,pretune_off,1,2,32,Damped double well oscillator,3,3,1,,,,
system,pretune_off,1,2,38,Van der Pol oscillator (simplified form from Strogatz),3,3,1,,,,
system,pretune_off,1,3,54,Lorenz equations in well-behaved periodic regime,3,0,0,,,,
system,pretune_off,1,3,55,Lorenz equations in complex periodic regime,3,0,0,,,,
system,pretune_off,1,3,56,Lorenz equations standard parameters (chaotic),3,0,0,,,,
system,pretune_off,1,3,61,Chen-Lee attractor; system for gyro motion with feedback control of rigid body (chaotic),3,0,0,,,,
system,pretune_off,1,4,63,SEIR infection model (proportions),3,0,0,,,,
system,pretune_off,2,1,2,Population growth (naive),3,3,1,,,,
system,pretune_off,2,1,3,Population growth with carrying capacity,3,3,1,,,,
system,pretune_off,2,1,6,Autocatalysis with one fixed abundant chemical,3,3,1,,,,
system,pretune_off,2,1,8,Logistic equation with Allee effect,3,0,0,,,,
system,pretune_off,2,1,11,Naive critical slowing down (statistical mechanics),3,0,0,,,,
system,pretune_off,2,1,12,Photons in a laser (simple),3,3,1,,,,
system,pretune_off,2,2,24,Harmonic oscillator without damping,3,3,1,,,,
system,pretune_off,2,2,25,Harmonic oscillator with damping,3,3,1,,,,
system,pretune_off,2,2,26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),3,0,0,,,,
system,pretune_off,2,2,27,Lotka-Volterra simple (as on Wikipedia),3,2,0.666666666667,,,,
system,pretune_off,2,2,28,Pendulum without friction,3,0,0,,,,
system,pretune_off,2,2,29,Dipole fixed point,3,0,0,,,,
system,pretune_off,2,2,31,SIR infection model only for healthy and sick,3,3,1,,,,
system,pretune_off,2,2,32,Damped double well oscillator,3,1,0.333333333333,,,,
system,pretune_off,2,2,38,Van der Pol oscillator (simplified form from Strogatz),3,3,1,,,,
system,pretune_off,2,3,54,Lorenz equations in well-behaved periodic regime,3,0,0,,,,
system,pretune_off,2,3,55,Lorenz equations in complex periodic regime,3,0,0,,,,
system,pretune_off,2,3,56,Lorenz equations standard parameters (chaotic),3,0,0,,,,
system,pretune_off,2,3,61,Chen-Lee attractor; system for gyro motion with feedback control of rigid body (chaotic),3,0,0,,,,
system,pretune_off,2,4,63,SEIR infection model (proportions),3,0,0,,,,
system,pretune_on,1,1,2,Population growth (naive),3,3,1,,,,
system,pretune_on,1,1,3,Population growth with carrying capacity,3,3,1,,,,
system,pretune_on,1,1,6,Autocatalysis with one fixed abundant chemical,3,3,1,,,,
system,pretune_on,1,1,8,Logistic equation with Allee effect,3,0,0,,,,
system,pretune_on,1,1,11,Naive critical slowing down (statistical mechanics),3,3,1,,,,
system,pretune_on,1,1,12,Photons in a laser (simple),3,3,1,,,,
system,pretune_on,1,2,24,Harmonic oscillator without damping,3,3,1,,,,
system,pretune_on,1,2,25,Harmonic oscillator with damping,3,3,1,,,,
system,pretune_on,1,2,26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),3,0,0,,,,
system,pretune_on,1,2,27,Lotka-Volterra simple (as on Wikipedia),3,2,0.666666666667,,,,
system,pretune_on,1,2,28,Pendulum without friction,3,0,0,,,,
system,pretune_on,1,2,29,Dipole fixed point,3,0,0,,,,
system,pretune_on,1,2,31,SIR infection model only for healthy and sick,3,0,0,,,,
system,pretune_on,1,2,32,Damped double well oscillator,3,3,1,,,,
system,pretune_on,1,2,38,Van der Pol oscillator (simplified form from Strogatz),3,3,1,,,,
system,pretune_on,1,3,54,Lorenz equations in well-behaved periodic regime,3,0,0,,,,
system,pretune_on,1,3,55,Lorenz equations in complex periodic regime,3,0,0,,,,
system,pretune_on,1,3,56,Lorenz equations standard parameters (chaotic),3,0,0,,,,
system,pretune_on,1,3,61,Chen-Lee attractor; system for gyro motion with feedback control of rigid body (chaotic),3,0,0,,,,
system,pretune_on,1,4,63,SEIR infection model (proportions),3,0,0,,,,
system,pretune_on,2,1,2,Population growth (naive),3,3,1,,,,
system,pretune_on,2,1,3,Population growth with carrying capacity,3,3,1,,,,
system,pretune_on,2,1,6,Autocatalysis with one fixed abundant chemical,3,3,1,,,,
system,pretune_on,2,1,8,Logistic equation with Allee effect,3,0,0,,,,
system,pretune_on,2,1,11,Naive critical slowing down (statistical mechanics),3,0,0,,,,
system,pretune_on,2,1,12,Photons in a laser (simple),3,3,1,,,,
system,pretune_on,2,2,24,Harmonic oscillator without damping,3,3,1,,,,
system,pretune_on,2,2,25,Harmonic oscillator with damping,3,3,1,,,,
system,pretune_on,2,2,26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),3,0,0,,,,
system,pretune_on,2,2,27,Lotka-Volterra simple (as on Wikipedia),3,3,1,,,,
system,pretune_on,2,2,28,Pendulum without friction,3,0,0,,,,
system,pretune_on,2,2,29,Dipole fixed point,3,0,0,,,,
system,pretune_on,2,2,31,SIR infection model only for healthy and sick,3,0,0,,,,
system,pretune_on,2,2,32,Damped double well oscillator,3,0,0,,,,
