system_id,system_name,system_dim,system_representability,n_cells,silent_levels_sum,silent_fraction_q50,silent_fraction_q90,exact_support_match_rate,r2_median,class_target
26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),2,exact,12,53,0.232142857143,0.5,0,,0
28,Pendulum without friction,2,exact,12,155,0.65,0.95,0,,0
54,Lorenz equations in well-behaved periodic regime,3,exact,12,93,0.333333333333,0.429285714286,0,,0
55,Lorenz equations in complex periodic regime,3,exact,12,99,0.266666666667,0.464,0,,0
56,Lorenz equations standard parameters (chaotic),3,exact,12,76,0.216666666667,0.383571428571,0,,0
61,Chen-Lee attractor; system for gyro motion with feedback control of rigid body (chaotic),3,exact,12,44,0.136645962733,0.411397058824,0,,0
63,SEIR infection model (proportions),4,exact,12,228,0.95,0.95,0,,0
8,Logistic equation with Allee effect,1,exact,12,135,0.90625,0.9375,0.25,,0.25
29,Dipole fixed point,2,exact,12,47,0.240384615385,0.538461538462,0.25,,0.25
31,SIR infection model only for healthy and sick,2,exact,12,69,0.46875,0.5,0.25,,0.25
9,Language death model for two languages,1,surrogate,12,185,0.85,0.95,,0.290633124854,0.290633124854
60,Aizawa attractor (chaotic),3,surrogate,12,127,0.386083743842,0.822644927536,,0.49215611823,0.49215611823
53,Model for apoptosis (cell death),3,surrogate,12,210,0.844861660079,0.95,,0.628914662045,0.628914662045
52,Maxwell-Bloch equations (laser dynamics),3,surrogate,12,148,0.642857142857,0.904761904762,,0.668585368777,0.668585368777
59,Rössler attractor (chaotic),3,surrogate,12,71,0.116666666667,0.429285714286,,0.742733836367,0.742733836367
57,Rössler attractor (stable fixed point),3,surrogate,12,163,0.667832167832,0.900649350649,,0.796171500126,0.796171500126
47,Binocular rivalry model (no oscillations),2,surrogate,12,186,0.738095238095,0.904761904762,,0.875515966553,0.875515966553
46,Interacting bar magnets,2,surrogate,12,201,0.94375,0.95,,0.902630359773,0.902630359773
50,Chemical oscillator model by Schnackenberg 1979 (dimensionless),2,surrogate,12,128,0.568681318681,0.714285714286,,0.913735525161,0.913735525161
58,Rössler attractor (periodic),3,surrogate,12,84,0.225,0.4,,0.9277456279,0.9277456279
