system_id,initial_condition_set,dimension,hash_format,time_axis_order,state_axis_order,time_shape,state_shape,time_min,time_max,state_min,state_max,time_sha256,state_sha256
1,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.0884142835242978,10.0,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,d179f4d2d329f28a786c6df3a81d2cd004e72e35809f538c037edcda97a8723f
1,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.91322255085879,3.54,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,05e4ebe76aa32e31813b47b7d7e1dd7cdb49937f2f3ed1e5d0f7435fb8bb0b62
2,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,4.78,47.67659212476489,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,e3280cf569fcbbf49e8ef72d7d05b2f449e19c3968442662b5aaea537fa63321
2,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.87,8.677538733252911,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,ec8cfc1ee446ddbd116070099a4364ba2aaa98c6856f0be358abdeb013d66de5
3,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,7.3,74.04803566096737,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,1d9d4cc91fb734cf3e4a1415a387c9ed5ede4b208f7e69054839ef0fbb9a91b2
3,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,21.0,74.23015073254165,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,dbda90741ef59af1f8d7d44bfa651aba0d6b7cc620ab75f0f6455206f6f460d7
4,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.8,3.4670153030528787,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,ae79fd093eedc6091e497264e4f47412fd6d493854671a2cbee7009da5b9832e
4,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,-3.169162429805069,0.02,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,532cbe868fbbbb95511e15df878cbda0f64b696a87acfde1f4519cffe5981500
5,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.5,60.94657711212193,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,fc5552207813b7ae1ae90b431d47f83ec76f97788aef13f5bfc139e18300c083
5,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,68.33202063745917,73.0,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,3ec1a79997719fb9c2f2fc7820964228cff87d4c6360d9d6f54234de35b0dd24
6,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.13,4.199999900291132,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,2328f9037a00945ef865a14ede03800f3b6fd8d1ba77876e8e59331a5ccb6ccb
6,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,2.24,4.199999997212933,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,38a2c7ef2a8f3f6179d9fe560168b703b6f39ba5282162afb9d20b89f541509d
7,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,1.73,2.9075276185248113,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c51dc058c97081c3ed26579e17fb8fad49f00f5ff7fa0da4e4e91ec555192123
7,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,9.5,30.349690991689105,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,a7e934c7e2951c21794e6d958e90e702b2d9507f04804a25d630d7a6b8cd0505
8,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,6.123,93.06565038767003,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,2c7d3cc552a2f8ca924fce6c311312fa9646fccc3a35c8e4e7a79b280d769f2d
8,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.8186702912988316,2.1,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c6d505fbd8d39f885e0a25a0115afe60768a9d3beeb025cde0915e7ce304095f
9,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.14,0.5323583574486837,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,f85f076121790b782cb942381f59b867a70dcacac628cc46169030055a2b10e8
9,2,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.53337464588639,0.55,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,181ada7edb8ea27d64e206519626b6d4a9ae685ea51fb0d6f7e429122cc5bd97
10,1,1,sha256_raw_little_endian_float64,time,time_by_dimension_c_order,[512],"[512,1]",0.0,10.0,0.016774728135131284,0.83,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,7eb38b6489a4dc2b15081742fca3abf6ffaab460b74a37dffe11a1de7ad0a7fd
