index,campaign,config_fingerprint,variant,condition,use_pretuning,system_id,system_dim,initial_condition_set,seed,representability
1,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,1,1,1,42,surrogate
2,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,1,1,1,123,surrogate
3,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,1,1,1,7,surrogate
4,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,1,1,2,42,surrogate
5,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,1,1,2,123,surrogate
6,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,1,1,2,7,surrogate
7,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,2,1,1,42,exact
8,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,2,1,1,123,exact
9,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,2,1,1,7,exact
10,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,2,1,2,42,exact
11,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,2,1,2,123,exact
12,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,2,1,2,7,exact
13,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,3,1,1,42,exact
14,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,3,1,1,123,exact
15,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,3,1,1,7,exact
16,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,3,1,2,42,exact
17,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,3,1,2,123,exact
18,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,3,1,2,7,exact
19,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,4,1,1,42,surrogate
20,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,4,1,1,123,surrogate
21,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,4,1,1,7,surrogate
22,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,4,1,2,42,surrogate
23,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,4,1,2,123,surrogate
24,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,4,1,2,7,surrogate
25,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,5,1,1,42,surrogate
26,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,5,1,1,123,surrogate
27,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,5,1,1,7,surrogate
28,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,5,1,2,42,surrogate
29,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,5,1,2,123,surrogate
30,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,5,1,2,7,surrogate
31,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,6,1,1,42,exact
32,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,6,1,1,123,exact
33,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,6,1,1,7,exact
34,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,6,1,2,42,exact
35,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,6,1,2,123,exact
36,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,6,1,2,7,exact
37,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,7,1,1,42,surrogate
38,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,7,1,1,123,surrogate
39,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,7,1,1,7,surrogate
40,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,7,1,2,42,surrogate
41,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,7,1,2,123,surrogate
42,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,7,1,2,7,surrogate
43,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,8,1,1,42,exact
44,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,8,1,1,123,exact
45,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,8,1,1,7,exact
46,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,8,1,2,42,exact
47,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,8,1,2,123,exact
48,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,8,1,2,7,exact
49,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,9,1,1,42,surrogate
50,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,9,1,1,123,surrogate
51,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,9,1,1,7,surrogate
52,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,9,1,2,42,surrogate
53,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,9,1,2,123,surrogate
54,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,9,1,2,7,surrogate
55,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,10,1,1,42,surrogate
56,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,10,1,1,123,surrogate
57,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,10,1,1,7,surrogate
58,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,10,1,2,42,surrogate
59,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,10,1,2,123,surrogate
60,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,10,1,2,7,surrogate
61,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,11,1,1,42,exact
62,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,11,1,1,123,exact
63,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,11,1,1,7,exact
64,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,11,1,2,42,exact
65,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,11,1,2,123,exact
66,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,11,1,2,7,exact
67,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,12,1,1,42,exact
68,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,12,1,1,123,exact
69,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,12,1,1,7,exact
70,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,12,1,2,42,exact
71,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,12,1,2,123,exact
72,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,12,1,2,7,exact
73,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,13,1,1,42,surrogate
74,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,13,1,1,123,surrogate
75,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,13,1,1,7,surrogate
76,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,13,1,2,42,surrogate
77,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,13,1,2,123,surrogate
78,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,13,1,2,7,surrogate
79,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,14,1,1,42,surrogate
80,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,14,1,1,123,surrogate
81,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,14,1,1,7,surrogate
82,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,14,1,2,42,surrogate
83,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,14,1,2,123,surrogate
84,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,14,1,2,7,surrogate
85,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,15,1,1,42,surrogate
86,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,15,1,1,123,surrogate
87,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,15,1,1,7,surrogate
88,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,15,1,2,42,surrogate
89,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,15,1,2,123,surrogate
90,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,15,1,2,7,surrogate
91,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,16,1,1,42,surrogate
92,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,16,1,1,123,surrogate
93,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,16,1,1,7,surrogate
94,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,16,1,2,42,surrogate
95,phase_b,604e79733b22d64d,evogrow_v2_2_stage_capped_pretune_on,pretune_on,true,16,1,2,123,surrogate
